Year,UNIT_MEASURE,Regions,Value
2017,Percent,,77.06127316295265
2017,Percent,Akmola,67.35791369461487
2017,Percent,Aktobe,78.00102486518142
2017,Percent,Almaty,84.60085608628734
2017,Percent,Atyrau,79.84683794466403
2017,Percent,Batys Kazakhstan,75.67719205604007
2017,Percent,Zhambyl,61.02215710933348
2017,Percent,Karagandy,70.48965127330781
2017,Percent,Kostanay,80.36524211274465
2017,Percent,Kyzylorda,71.75320443859377
2017,Percent,Mangistau,77.98712864411583
2017,Percent,Pavlodar,79.59902244192281
2017,Percent,Soltustik Kazakhstan,74.61223646134766
2017,Percent,Turkistan,76.8
2017,Percent,Shygys Kazakhstan,77.39405779255048
2017,Percent,Nur-Sultan city,83.76383499663521
2017,Percent,Almaty city,81.56051138775554
2017,Percent,Shymkent city,80.1
2018,Percent,,79.6
2018,Percent,Akmola,68.9
2018,Percent,Aktobe,78.0
2018,Percent,Almaty,86.7
2018,Percent,Atyrau,81.2
2018,Percent,Batys Kazakhstan,76.4
2018,Percent,Zhambyl,78.2
2018,Percent,Karagandy,70.6
2018,Percent,Kostanay,80.8
2018,Percent,Kyzylorda,78.6
2018,Percent,Mangistau,78.1
2018,Percent,Pavlodar,79.6
2018,Percent,Soltustik Kazakhstan,74.8
2018,Percent,Turkistan,76.9
2018,Percent,Shygys Kazakhstan,77.8
2018,Percent,Nur-Sultan city,85.4
2018,Percent,Almaty city,87.2
2018,Percent,Shymkent city,80.8
2019,Percent,,82.1
2019,Percent,Akmola,74.7
2019,Percent,Aktobe,80.0
2019,Percent,Almaty,87.9
2019,Percent,Atyrau,82.6
2019,Percent,Batys Kazakhstan,78.4
2019,Percent,Zhambyl,79.8
2019,Percent,Karagandy,78.5
2019,Percent,Kostanay,82.9
2019,Percent,Kyzylorda,80.1
2019,Percent,Mangistau,78.7
2019,Percent,Pavlodar,82.4
2019,Percent,Soltustik Kazakhstan,77.1
2019,Percent,Turkistan,77.7
2019,Percent,Shygys Kazakhstan,82.5
2019,Percent,Nur-Sultan city,88.7
2019,Percent,Almaty city,89.0
2019,Percent,Shymkent city,81.5
