Year,UNIT_MEASURE,SERIES,Regions,Value
2010,thousand of tenge,природного характера,,1249382.0
2010,thousand of tenge,природного характера,Akmola,20000.0
2010,thousand of tenge,природного характера,Aktobe,5055.0
2010,thousand of tenge,природного характера,Almaty,900.0
2010,thousand of tenge,природного характера,Atyrau,0.0
2010,thousand of tenge,природного характера,Batys Kazakhstan,0.0
2010,thousand of tenge,природного характера,Zhambyl,60.8
2010,thousand of tenge,природного характера,Karagandy,11256.0
2010,thousand of tenge,природного характера,Kostanay,20900.0
2010,thousand of tenge,природного характера,Kyzylorda,4400.0
2010,thousand of tenge,природного характера,Mangistau,44918.2
2010,thousand of tenge,природного характера,Pavlodar,75492.0
2010,thousand of tenge,природного характера,Soltustik Kazakhstan,0.0
2010,thousand of tenge,природного характера,Turkistan,61300.0
2010,thousand of tenge,природного характера,Shygys Kazakhstan,1005100.0
2010,thousand of tenge,природного характера,Nur-Sultan city,0.0
2010,thousand of tenge,природного характера,Almaty city,0.0
2010,thousand of tenge,природного характера,Shymkent city,0.0
2010,thousand of tenge,техногенного характера,,8334944.729999999
2010,thousand of tenge,техногенного характера,Akmola,4504.8
2010,thousand of tenge,техногенного характера,Aktobe,0.0
2010,thousand of tenge,техногенного характера,Almaty,7900000.0
2010,thousand of tenge,техногенного характера,Atyrau,0.0
2010,thousand of tenge,техногенного характера,Batys Kazakhstan,382700.63
2010,thousand of tenge,техногенного характера,Zhambyl,0.0
2010,thousand of tenge,техногенного характера,Karagandy,0.0
2010,thousand of tenge,техногенного характера,Kostanay,0.0
2010,thousand of tenge,техногенного характера,Kyzylorda,0.0
2010,thousand of tenge,техногенного характера,Mangistau,17139.3
2010,thousand of tenge,техногенного характера,Pavlodar,0.0
2010,thousand of tenge,техногенного характера,Soltustik Kazakhstan,0.0
2010,thousand of tenge,техногенного характера,Turkistan,0.0
2010,thousand of tenge,техногенного характера,Shygys Kazakhstan,30600.0
2010,thousand of tenge,техногенного характера,Nur-Sultan city,0.0
2010,thousand of tenge,техногенного характера,Almaty city,0.0
2010,thousand of tenge,техногенного характера,Shymkent city,0.0
2011,thousand of tenge,природного характера,,325575.2
2011,thousand of tenge,природного характера,Akmola,578.3
2011,thousand of tenge,природного характера,Aktobe,0.0
2011,thousand of tenge,природного характера,Almaty,280.0
2011,thousand of tenge,природного характера,Atyrau,0.0
2011,thousand of tenge,природного характера,Batys Kazakhstan,0.0
2011,thousand of tenge,природного характера,Zhambyl,64.9
2011,thousand of tenge,природного характера,Karagandy,0.0
2011,thousand of tenge,природного характера,Kostanay,0.0
2011,thousand of tenge,природного характера,Kyzylorda,4500.0
2011,thousand of tenge,природного характера,Mangistau,120853.4
2011,thousand of tenge,природного характера,Pavlodar,91298.6
2011,thousand of tenge,природного характера,Soltustik Kazakhstan,0.0
2011,thousand of tenge,природного характера,Turkistan,0.0
2011,thousand of tenge,природного характера,Shygys Kazakhstan,108000.0
2011,thousand of tenge,природного характера,Nur-Sultan city,0.0
2011,thousand of tenge,природного характера,Almaty city,0.0
2011,thousand of tenge,природного характера,Shymkent city,0.0
2011,thousand of tenge,техногенного характера,,949121.35
2011,thousand of tenge,техногенного характера,Akmola,0.0
2011,thousand of tenge,техногенного характера,Aktobe,0.0
2011,thousand of tenge,техногенного характера,Almaty,367400.0
2011,thousand of tenge,техногенного характера,Atyrau,0.0
2011,thousand of tenge,техногенного характера,Batys Kazakhstan,274747.85
2011,thousand of tenge,техногенного характера,Zhambyl,0.0
2011,thousand of tenge,техногенного характера,Karagandy,255073.5
2011,thousand of tenge,техногенного характера,Kostanay,0.0
2011,thousand of tenge,техногенного характера,Kyzylorda,0.0
2011,thousand of tenge,техногенного характера,Mangistau,0.0
2011,thousand of tenge,техногенного характера,Pavlodar,0.0
2011,thousand of tenge,техногенного характера,Soltustik Kazakhstan,0.0
2011,thousand of tenge,техногенного характера,Turkistan,0.0
2011,thousand of tenge,техногенного характера,Shygys Kazakhstan,51900.0
2011,thousand of tenge,техногенного характера,Nur-Sultan city,0.0
2011,thousand of tenge,техногенного характера,Almaty city,0.0
2011,thousand of tenge,техногенного характера,Shymkent city,0.0
2012,thousand of tenge,природного характера,,1238491.2
2012,thousand of tenge,природного характера,Akmola,7579.2
2012,thousand of tenge,природного характера,Aktobe,2000.0
2012,thousand of tenge,природного характера,Almaty,867.0
2012,thousand of tenge,природного характера,Atyrau,0.0
2012,thousand of tenge,природного характера,Batys Kazakhstan,0.0
2012,thousand of tenge,природного характера,Zhambyl,55.5
2012,thousand of tenge,природного характера,Karagandy,74.0
2012,thousand of tenge,природного характера,Kostanay,20400.0
2012,thousand of tenge,природного характера,Kyzylorda,9700.0
2012,thousand of tenge,природного характера,Mangistau,34652.9
2012,thousand of tenge,природного характера,Pavlodar,76462.6
2012,thousand of tenge,природного характера,Soltustik Kazakhstan,0.0
2012,thousand of tenge,природного характера,Turkistan,977400.0
2012,thousand of tenge,природного характера,Shygys Kazakhstan,109300.0
2012,thousand of tenge,природного характера,Nur-Sultan city,0.0
2012,thousand of tenge,природного характера,Almaty city,0.0
2012,thousand of tenge,природного характера,Shymkent city,0.0
2012,thousand of tenge,техногенного характера,,1484323.57
2012,thousand of tenge,техногенного характера,Akmola,57044.3
2012,thousand of tenge,техногенного характера,Aktobe,0.0
2012,thousand of tenge,техногенного характера,Almaty,970900.0
2012,thousand of tenge,техногенного характера,Atyrau,0.0
2012,thousand of tenge,техногенного характера,Batys Kazakhstan,407495.27
2012,thousand of tenge,техногенного характера,Zhambyl,0.0
2012,thousand of tenge,техногенного характера,Karagandy,14384.0
2012,thousand of tenge,техногенного характера,Kostanay,0.0
2012,thousand of tenge,техногенного характера,Kyzylorda,21500.0
2012,thousand of tenge,техногенного характера,Mangistau,0.0
2012,thousand of tenge,техногенного характера,Pavlodar,0.0
2012,thousand of tenge,техногенного характера,Soltustik Kazakhstan,0.0
2012,thousand of tenge,техногенного характера,Turkistan,0.0
2012,thousand of tenge,техногенного характера,Shygys Kazakhstan,13000.0
2012,thousand of tenge,техногенного характера,Nur-Sultan city,0.0
2012,thousand of tenge,техногенного характера,Almaty city,0.0
2012,thousand of tenge,техногенного характера,Shymkent city,0.0
2013,thousand of tenge,природного характера,,385119.9
2013,thousand of tenge,природного характера,Akmola,56392.5
2013,thousand of tenge,природного характера,Aktobe,2000.0
2013,thousand of tenge,природного характера,Almaty,1363.0
2013,thousand of tenge,природного характера,Atyrau,0.0
2013,thousand of tenge,природного характера,Batys Kazakhstan,0.0
2013,thousand of tenge,природного характера,Zhambyl,59.3
2013,thousand of tenge,природного характера,Karagandy,3500.0
2013,thousand of tenge,природного характера,Kostanay,36800.0
2013,thousand of tenge,природного характера,Kyzylorda,93800.0
2013,thousand of tenge,природного характера,Mangistau,0.0
2013,thousand of tenge,природного характера,Pavlodar,138605.1
2013,thousand of tenge,природного характера,Soltustik Kazakhstan,0.0
2013,thousand of tenge,природного характера,Turkistan,0.0
2013,thousand of tenge,природного характера,Shygys Kazakhstan,52600.0
2013,thousand of tenge,природного характера,Nur-Sultan city,0.0
2013,thousand of tenge,природного характера,Almaty city,0.0
2013,thousand of tenge,природного характера,Shymkent city,0.0
2013,thousand of tenge,техногенного характера,,1238029.8
2013,thousand of tenge,техногенного характера,Akmola,25791.0
2013,thousand of tenge,техногенного характера,Aktobe,0.0
2013,thousand of tenge,техногенного характера,Almaty,927600.0
2013,thousand of tenge,техногенного характера,Atyrau,0.0
2013,thousand of tenge,техногенного характера,Batys Kazakhstan,274838.8
2013,thousand of tenge,техногенного характера,Zhambyl,0.0
2013,thousand of tenge,техногенного характера,Karagandy,0.0
2013,thousand of tenge,техногенного характера,Kostanay,0.0
2013,thousand of tenge,техногенного характера,Kyzylorda,7600.0
2013,thousand of tenge,техногенного характера,Mangistau,0.0
2013,thousand of tenge,техногенного характера,Pavlodar,0.0
2013,thousand of tenge,техногенного характера,Soltustik Kazakhstan,0.0
2013,thousand of tenge,техногенного характера,Turkistan,0.0
2013,thousand of tenge,техногенного характера,Shygys Kazakhstan,2200.0
2013,thousand of tenge,техногенного характера,Nur-Sultan city,0.0
2013,thousand of tenge,техногенного характера,Almaty city,0.0
2013,thousand of tenge,техногенного характера,Shymkent city,0.0
2014,thousand of tenge,природного характера,,759078.1
2014,thousand of tenge,природного характера,Akmola,34045.1
2014,thousand of tenge,природного характера,Aktobe,5000.0
2014,thousand of tenge,природного характера,Almaty,6.0
2014,thousand of tenge,природного характера,Atyrau,50686.2
2014,thousand of tenge,природного характера,Batys Kazakhstan,64357.8
2014,thousand of tenge,природного характера,Zhambyl,1.7
2014,thousand of tenge,природного характера,Karagandy,473901.0
2014,thousand of tenge,природного характера,Kostanay,1200.0
2014,thousand of tenge,природного характера,Kyzylorda,30886.0
2014,thousand of tenge,природного характера,Mangistau,0.0
2014,thousand of tenge,природного характера,Pavlodar,41893.1
2014,thousand of tenge,природного характера,Soltustik Kazakhstan,0.0
2014,thousand of tenge,природного характера,Turkistan,0.0
2014,thousand of tenge,природного характера,Shygys Kazakhstan,56600.0
2014,thousand of tenge,природного характера,Nur-Sultan city,0.0
2014,thousand of tenge,природного характера,Almaty city,0.0
2014,thousand of tenge,природного характера,Shymkent city,501.2
2014,thousand of tenge,техногенного характера,,927084.0
2014,thousand of tenge,техногенного характера,Akmola,0.0
2014,thousand of tenge,техногенного характера,Aktobe,0.0
2014,thousand of tenge,техногенного характера,Almaty,180100.0
2014,thousand of tenge,техногенного характера,Atyrau,17274.4
2014,thousand of tenge,техногенного характера,Batys Kazakhstan,0.0
2014,thousand of tenge,техногенного характера,Zhambyl,121.6
2014,thousand of tenge,техногенного характера,Karagandy,12828.0
2014,thousand of tenge,техногенного характера,Kostanay,0.0
2014,thousand of tenge,техногенного характера,Kyzylorda,0.0
2014,thousand of tenge,техногенного характера,Mangistau,59980.0
2014,thousand of tenge,техногенного характера,Pavlodar,0.0
2014,thousand of tenge,техногенного характера,Soltustik Kazakhstan,118800.0
2014,thousand of tenge,техногенного характера,Turkistan,0.0
2014,thousand of tenge,техногенного характера,Shygys Kazakhstan,14300.0
2014,thousand of tenge,техногенного характера,Nur-Sultan city,0.0
2014,thousand of tenge,техногенного характера,Almaty city,125613.0
2014,thousand of tenge,техногенного характера,Shymkent city,398067.0
2015,thousand of tenge,природного характера,,4330016.016000001
2015,thousand of tenge,природного характера,Akmola,14285.0
2015,thousand of tenge,природного характера,Aktobe,0.0
2015,thousand of tenge,природного характера,Almaty,124.0
2015,thousand of tenge,природного характера,Atyrau,103683.7
2015,thousand of tenge,природного характера,Batys Kazakhstan,103906.816
2015,thousand of tenge,природного характера,Zhambyl,2.1
2015,thousand of tenge,природного характера,Karagandy,3765011.0
2015,thousand of tenge,природного характера,Kostanay,0.0
2015,thousand of tenge,природного характера,Kyzylorda,35182.0
2015,thousand of tenge,природного характера,Mangistau,10332.2
2015,thousand of tenge,природного характера,Pavlodar,71709.1
2015,thousand of tenge,природного характера,Soltustik Kazakhstan,0.1
2015,thousand of tenge,природного характера,Turkistan,0.0
2015,thousand of tenge,природного характера,Shygys Kazakhstan,220900.0
2015,thousand of tenge,природного характера,Nur-Sultan city,4855.0
2015,thousand of tenge,природного характера,Almaty city,0.0
2015,thousand of tenge,природного характера,Shymkent city,25.0
2015,thousand of tenge,техногенного характера,,766681.0
2015,thousand of tenge,техногенного характера,Akmola,0.0
2015,thousand of tenge,техногенного характера,Aktobe,0.0
2015,thousand of tenge,техногенного характера,Almaty,130400.0
2015,thousand of tenge,техногенного характера,Atyrau,114069.8
2015,thousand of tenge,техногенного характера,Batys Kazakhstan,0.0
2015,thousand of tenge,техногенного характера,Zhambyl,119.2
2015,thousand of tenge,техногенного характера,Karagandy,0.0
2015,thousand of tenge,техногенного характера,Kostanay,0.0
2015,thousand of tenge,техногенного характера,Kyzylorda,0.0
2015,thousand of tenge,техногенного характера,Mangistau,143826.0
2015,thousand of tenge,техногенного характера,Pavlodar,0.0
2015,thousand of tenge,техногенного характера,Soltustik Kazakhstan,129600.0
2015,thousand of tenge,техногенного характера,Turkistan,0.0
2015,thousand of tenge,техногенного характера,Shygys Kazakhstan,25100.0
2015,thousand of tenge,техногенного характера,Nur-Sultan city,0.0
2015,thousand of tenge,техногенного характера,Almaty city,40000.0
2015,thousand of tenge,техногенного характера,Shymkent city,183566.0
2016,thousand of tenge,природного характера,,386263.0
2016,thousand of tenge,природного характера,Akmola,41496.0
2016,thousand of tenge,природного характера,Aktobe,13704.8
2016,thousand of tenge,природного характера,Almaty,1373.0
2016,thousand of tenge,природного характера,Atyrau,99505.4
2016,thousand of tenge,природного характера,Batys Kazakhstan,0.0
2016,thousand of tenge,природного характера,Zhambyl,1.3
2016,thousand of tenge,природного характера,Karagandy,12260.0
2016,thousand of tenge,природного характера,Kostanay,26500.0
2016,thousand of tenge,природного характера,Kyzylorda,62604.0
2016,thousand of tenge,природного характера,Mangistau,0.0
2016,thousand of tenge,природного характера,Pavlodar,38518.5
2016,thousand of tenge,природного характера,Soltustik Kazakhstan,0.0
2016,thousand of tenge,природного характера,Turkistan,0.0
2016,thousand of tenge,природного характера,Shygys Kazakhstan,90300.0
2016,thousand of tenge,природного характера,Nur-Sultan city,0.0
2016,thousand of tenge,природного характера,Almaty city,0.0
2016,thousand of tenge,природного характера,Shymkent city,0.0
2016,thousand of tenge,техногенного характера,,977323.8
2016,thousand of tenge,техногенного характера,Akmola,0.0
2016,thousand of tenge,техногенного характера,Aktobe,134695.5
2016,thousand of tenge,техногенного характера,Almaty,173300.0
2016,thousand of tenge,техногенного характера,Atyrau,145923.4
2016,thousand of tenge,техногенного характера,Batys Kazakhstan,4000.0
2016,thousand of tenge,техногенного характера,Zhambyl,110.9
2016,thousand of tenge,техногенного характера,Karagandy,0.0
2016,thousand of tenge,техногенного характера,Kostanay,0.0
2016,thousand of tenge,техногенного характера,Kyzylorda,0.0
2016,thousand of tenge,техногенного характера,Mangistau,58310.0
2016,thousand of tenge,техногенного характера,Pavlodar,0.0
2016,thousand of tenge,техногенного характера,Soltustik Kazakhstan,103300.0
2016,thousand of tenge,техногенного характера,Turkistan,0.0
2016,thousand of tenge,техногенного характера,Shygys Kazakhstan,18900.0
2016,thousand of tenge,техногенного характера,Nur-Sultan city,0.0
2016,thousand of tenge,техногенного характера,Almaty city,107230.0
2016,thousand of tenge,техногенного характера,Shymkent city,231554.0
2017,thousand of tenge,природного характера,,1409460.9
2017,thousand of tenge,природного характера,Akmola,126663.1
2017,thousand of tenge,природного характера,Aktobe,315259.9
2017,thousand of tenge,природного характера,Almaty,9453.0
2017,thousand of tenge,природного характера,Atyrau,4589.4
2017,thousand of tenge,природного характера,Batys Kazakhstan,77420.2
2017,thousand of tenge,природного характера,Zhambyl,17.9
2017,thousand of tenge,природного характера,Karagandy,162781.3
2017,thousand of tenge,природного характера,Kostanay,27200.0
2017,thousand of tenge,природного характера,Kyzylorda,72418.0
2017,thousand of tenge,природного характера,Mangistau,0.0
2017,thousand of tenge,природного характера,Pavlodar,503358.1
2017,thousand of tenge,природного характера,Soltustik Kazakhstan,2600.0
2017,thousand of tenge,природного характера,Turkistan,100.0
2017,thousand of tenge,природного характера,Shygys Kazakhstan,107600.0
2017,thousand of tenge,природного характера,Nur-Sultan city,0.0
2017,thousand of tenge,природного характера,Almaty city,0.0
2017,thousand of tenge,природного характера,Shymkent city,0.0
2017,thousand of tenge,техногенного характера,,8718557.0
2017,thousand of tenge,техногенного характера,Akmola,0.0
2017,thousand of tenge,техногенного характера,Aktobe,0.0
2017,thousand of tenge,техногенного характера,Almaty,180900.0
2017,thousand of tenge,техногенного характера,Atyrau,0.0
2017,thousand of tenge,техногенного характера,Batys Kazakhstan,0.0
2017,thousand of tenge,техногенного характера,Zhambyl,93.3
2017,thousand of tenge,техногенного характера,Karagandy,1402.4
2017,thousand of tenge,техногенного характера,Kostanay,0.0
2017,thousand of tenge,техногенного характера,Kyzylorda,0.0
2017,thousand of tenge,техногенного характера,Mangistau,22205.0
2017,thousand of tenge,техногенного характера,Pavlodar,0.0
2017,thousand of tenge,техногенного характера,Soltustik Kazakhstan,87200.0
2017,thousand of tenge,техногенного характера,Turkistan,0.0
2017,thousand of tenge,техногенного характера,Shygys Kazakhstan,51500.0
2017,thousand of tenge,техногенного характера,Nur-Sultan city,0.0
2017,thousand of tenge,техногенного характера,Almaty city,104120.0
2017,thousand of tenge,техногенного характера,Shymkent city,222435.0
2018,thousand of tenge,природного характера,,559557.0
2018,thousand of tenge,природного характера,Akmola,143191.2
2018,thousand of tenge,природного характера,Aktobe,34530.4
2018,thousand of tenge,природного характера,Almaty,14000.0
2018,thousand of tenge,природного характера,Atyrau,0.0
2018,thousand of tenge,природного характера,Batys Kazakhstan,0.0
2018,thousand of tenge,природного характера,Zhambyl,71.7
2018,thousand of tenge,природного характера,Karagandy,21981.0
2018,thousand of tenge,природного характера,Kostanay,48704.0
2018,thousand of tenge,природного характера,Kyzylorda,60881.0
2018,thousand of tenge,природного характера,Mangistau,0.0
2018,thousand of tenge,природного характера,Pavlodar,47217.7
2018,thousand of tenge,природного характера,Soltustik Kazakhstan,1500.0
2018,thousand of tenge,природного характера,Turkistan,0.0
2018,thousand of tenge,природного характера,Shygys Kazakhstan,187480.0
2018,thousand of tenge,природного характера,Nur-Sultan city,0.0
2018,thousand of tenge,природного характера,Almaty city,0.0
2018,thousand of tenge,природного характера,Shymkent city,0.0
2018,thousand of tenge,техногенного характера,,1628373.1
2018,thousand of tenge,техногенного характера,Akmola,338700.0
2018,thousand of tenge,техногенного характера,Aktobe,5971.0
2018,thousand of tenge,техногенного характера,Almaty,87905.0
2018,thousand of tenge,техногенного характера,Atyrau,154154.3
2018,thousand of tenge,техногенного характера,Batys Kazakhstan,0.0
2018,thousand of tenge,техногенного характера,Zhambyl,85.5
2018,thousand of tenge,техногенного характера,Karagandy,295447.0
2018,thousand of tenge,техногенного характера,Kostanay,0.0
2018,thousand of tenge,техногенного характера,Kyzylorda,0.0
2018,thousand of tenge,техногенного характера,Mangistau,39400.0
2018,thousand of tenge,техногенного характера,Pavlodar,75620.3
2018,thousand of tenge,техногенного характера,Soltustik Kazakhstan,101200.0
2018,thousand of tenge,техногенного характера,Turkistan,0.0
2018,thousand of tenge,техногенного характера,Shygys Kazakhstan,0.0
2018,thousand of tenge,техногенного характера,Nur-Sultan city,0.0
2018,thousand of tenge,техногенного характера,Almaty city,175275.0
2018,thousand of tenge,техногенного характера,Shymkent city,354615.0
2019,thousand of tenge,природного характера,,498089.2
2019,thousand of tenge,природного характера,Akmola,70679.0
2019,thousand of tenge,природного характера,Aktobe,699.5
2019,thousand of tenge,природного характера,Almaty,487687.0
2019,thousand of tenge,природного характера,Atyrau,63531.2
