Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,M_USD,Kazakhstan as donor,3.184537
2011,M_USD,Kazakhstan as donor,3.719071
2012,M_USD,Kazakhstan as donor,3.063886
2013,M_USD,Kazakhstan as donor,3.576984
2014,M_USD,Kazakhstan as donor,2.545952
2015,M_USD,Kazakhstan as donor,2.946629
2016,M_USD,Kazakhstan as donor,3.563592
2016,M_USD,Kazakhstan as beneficiary,1.91
2017,M_USD,Kazakhstan as donor,4.701934
2017,M_USD,Kazakhstan as beneficiary,0.049169
