Year,UNIT_MEASURE,Value
2010,Percent,21.3
2011,Percent,21.3
2012,Percent,21.3
2013,Percent,21.4
2014,Percent,21.4
2015,Percent,21.4
2016,Percent,21.5
2017,Percent,21.1
2018,Percent,21.8
2019,Percent,21.8
