Year,Regions,Value
2010,,666.0
2010,Akmola,403.0
2010,Aktobe,151.0
2010,Almaty,216.0
2010,Atyrau,741.0
2010,Batys Kazakhstan,488.0
2010,Zhambyl,183.0
2010,Karagandy,482.0
2010,Kostanay,231.0
2010,Kyzylorda,78.0
2010,Mangistau,728.0
2010,Ontustik Kazakhstan,113.0
2010,Pavlodar,169.0
2010,Soltustik Kazakhstan,123.0
2010,Shygys Kazakhstan,525.0
2010,Nur-Sultan city,1647.0
2010,Almaty city,3973.0
2011,,694.0
2011,Akmola,679.0
2011,Aktobe,146.0
2011,Almaty,257.0
2011,Atyrau,785.0
2011,Batys Kazakhstan,469.0
2011,Zhambyl,88.0
2011,Karagandy,409.0
2011,Kostanay,152.0
2011,Kyzylorda,79.0
2011,Mangistau,768.0
2011,Ontustik Kazakhstan,177.0
2011,Pavlodar,260.0
2011,Soltustik Kazakhstan,85.0
2011,Shygys Kazakhstan,521.0
2011,Nur-Sultan city,1714.0
2011,Almaty city,4031.0
2012,,611.0
2012,Akmola,722.0
2012,Aktobe,115.0
2012,Almaty,109.0
2012,Atyrau,739.0
2012,Batys Kazakhstan,179.0
2012,Zhambyl,156.0
2012,Karagandy,604.0
2012,Kostanay,124.0
2012,Kyzylorda,76.0
2012,Mangistau,665.0
2012,Ontustik Kazakhstan,166.0
2012,Pavlodar,231.0
2012,Soltustik Kazakhstan,206.0
2012,Shygys Kazakhstan,489.0
2012,Nur-Sultan city,3111.0
2012,Almaty city,2472.0
2013,,737.0
2013,Akmola,698.0
2013,Aktobe,162.0
2013,Almaty,211.0
2013,Atyrau,531.0
2013,Batys Kazakhstan,391.0
2013,Zhambyl,142.0
2013,Karagandy,398.0
2013,Kostanay,187.0
2013,Kyzylorda,135.0
2013,Mangistau,786.0
2013,Ontustik Kazakhstan,286.0
2013,Pavlodar,439.0
2013,Soltustik Kazakhstan,226.0
2013,Shygys Kazakhstan,604.0
2013,Nur-Sultan city,2044.0
2013,Almaty city,3703.0
2014,,799.0
2014,Akmola,462.0
2014,Aktobe,200.0
2014,Almaty,213.0
2014,Atyrau,484.0
2014,Batys Kazakhstan,159.0
2014,Zhambyl,161.0
2014,Karagandy,569.0
2014,Kostanay,200.0
2014,Kyzylorda,171.0
2014,Mangistau,782.0
2014,Ontustik Kazakhstan,245.0
2014,Pavlodar,388.0
2014,Soltustik Kazakhstan,214.0
2014,Shygys Kazakhstan,560.0
2014,Nur-Sultan city,2557.0
2014,Almaty city,4556.0
2015,,778.0
2015,Akmola,522.0
2015,Aktobe,213.0
2015,Almaty,333.0
2015,Atyrau,530.0
2015,Batys Kazakhstan,370.0
2015,Zhambyl,195.0
2015,Karagandy,616.0
2015,Kostanay,225.0
2015,Kyzylorda,111.0
2015,Mangistau,850.0
2015,Ontustik Kazakhstan,232.0
2015,Pavlodar,337.0
2015,Soltustik Kazakhstan,158.0
2015,Shygys Kazakhstan,612.0
2015,Nur-Sultan city,2475.0
2015,Almaty city,3823.0
2016,,695.0
2016,Akmola,514.0
2016,Aktobe,200.0
2016,Almaty,261.0
2016,Atyrau,442.0
2016,Batys Kazakhstan,614.0
2016,Zhambyl,180.0
2016,Karagandy,386.0
2016,Kostanay,205.0
2016,Kyzylorda,118.0
2016,Mangistau,892.0
2016,Ontustik Kazakhstan,185.0
2016,Pavlodar,421.0
2016,Soltustik Kazakhstan,116.0
2016,Shygys Kazakhstan,604.0
2016,Nur-Sultan city,2191.0
2016,Almaty city,3275.0
2017,,668.0
2017,Akmola,562.0
2017,Aktobe,201.0
2017,Almaty,220.0
2017,Atyrau,504.0
2017,Batys Kazakhstan,324.0
2017,Zhambyl,181.0
2017,Karagandy,490.0
2017,Kostanay,197.0
2017,Kyzylorda,114.0
2017,Mangistau,880.0
2017,Ontustik Kazakhstan,178.0
2017,Pavlodar,337.0
2017,Soltustik Kazakhstan,76.0
2017,Shygys Kazakhstan,604.0
2017,Nur-Sultan city,2007.0
2017,Almaty city,3099.0
2018,,668.0
2018,Akmola,507.0
2018,Aktobe,191.0
2018,Almaty,254.0
2018,Atyrau,605.0
2018,Batys Kazakhstan,429.0
2018,Zhambyl,191.0
2018,Karagandy,475.0
2018,Kostanay,214.0
2018,Kyzylorda,101.0
2018,Mangistau,854.0
2018,Pavlodar,330.0
2018,Soltustik Kazakhstan,70.0
2018,Turkistan,42.0
2018,Shygys Kazakhstan,642.0
2018,Nur-Sultan city,1777.0
2018,Almaty city,3235.0
2018,Shymkent city,229.0
2019,,638.0
2019,Akmola,537.0
2019,Aktobe,222.0
2019,Almaty,229.0
2019,Atyrau,594.0
2019,Batys Kazakhstan,388.0
2019,Zhambyl,220.0
2019,Karagandy,487.0
2019,Kostanay,205.0
2019,Kyzylorda,76.0
2019,Mangistau,857.0
2019,Pavlodar,458.0
2019,Soltustik Kazakhstan,71.0
2019,Turkistan,38.0
2019,Shygys Kazakhstan,581.0
2019,Nur-Sultan city,1688.0
2019,Almaty city,2843.0
2019,Shymkent city,236.0
