Year,UNIT_MEASURE,Value
2010,Percent,0.15
2011,Percent,0.09
2012,Percent,0.14
2013,Percent,0.14
2014,Percent,0.18
2015,Percent,0.16
2016,Percent,0.28
2017,Percent,0.34
2018,Percent,0.36
2019,Percent,0.28
