Year,UNIT_MEASURE,Value
2010,Percent,1.1
2011,Percent,1.1
2012,Percent,1.2
2013,Percent,1.5
2014,Percent,1.4
2015,Percent,1.2
2016,Percent,1.2
2017,Percent,1.3
2018,Percent,1.4
2019,Percent,1.4
