Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Age,Regions,Value
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Batys Kazakhstan,19.445775690384146
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Batys Kazakhstan,5.899017007998126
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Zhambyl,6.054250434159915
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Zhambyl,5.0844777605340985
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Zhambyl,24.62768293754209
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Zhambyl,33.04032092764487
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Zhambyl,8.037831981493953
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Zhambyl,8.723024215981964
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Zhambyl,16.82586161459401
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Zhambyl,6.086498199174256
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Zhambyl,1.3440309214957102
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Karagandy,17.101585272058227
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Karagandy,31.426392457542967
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Karagandy,52.285872224553934
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Karagandy,36.20645531135156
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Karagandy,21.80484609006316
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Karagandy,18.794721917962477
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Karagandy,27.514408263126107
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Karagandy,31.53387861230256
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Karagandy,2.6144727548189626
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Kostanay,16.07829351743426
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Kostanay,25.91009273506051
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Kostanay,49.76421175198569
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Kostanay,47.19757142263068
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Kostanay,17.558947062003575
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Kostanay,15.20272799101759
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Kostanay,25.516696469414065
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Kostanay,28.047573501892124
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Kostanay,3.316006154613881
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Kyzylorda,8.066946606270289
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Kyzylorda,17.696099118539337
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Kyzylorda,24.11634962217427
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Kyzylorda,33.649183434591166
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Kyzylorda,11.94231887058374
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Kyzylorda,15.109844171769373
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Kyzylorda,13.452029270545518
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Kyzylorda,17.522514272974114
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Kyzylorda,3.747999394841823
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Mangistau,8.09717935354822
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Mangistau,12.852402913127856
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Mangistau,57.14300619770039
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Mangistau,33.08153001815488
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Mangistau,8.693474677072683
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Mangistau,27.89173848625863
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Mangistau,18.11627470211389
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Mangistau,10.033179608105003
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Mangistau,3.306483587571211
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Pavlodar,11.962867767773266
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Pavlodar,22.77398817644384
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Pavlodar,37.34626850588651
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Pavlodar,28.182507200242533
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Pavlodar,13.394977515032084
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Pavlodar,11.230357233085746
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Pavlodar,19.694810772573398
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Pavlodar,25.636905664190795
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Pavlodar,3.968470516901622
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Soltustik Kazakhstan,17.65415390428117
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Soltustik Kazakhstan,22.41472293380073
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Soltustik Kazakhstan,38.69219360927599
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Soltustik Kazakhstan,36.64149925846029
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Soltustik Kazakhstan,20.513684778212216
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Soltustik Kazakhstan,14.248348388836456
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Soltustik Kazakhstan,24.47755157071592
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Soltustik Kazakhstan,28.886342186868006
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Soltustik Kazakhstan,3.719832816502629
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Turkistan,18.55739451179479
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Turkistan,13.599361250158362
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Turkistan,40.9504055531167
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Turkistan,43.99448459546335
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Turkistan,11.1692834393497
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Turkistan,15.313791752231056
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Turkistan,20.023393329071077
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Turkistan,14.018319864000494
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Turkistan,2.8967658869872395
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Shygys Kazakhstan,14.84530006923104
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Shygys Kazakhstan,20.93821386425888
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Shygys Kazakhstan,51.54708932843981
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Shygys Kazakhstan,43.01157339742549
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Shygys Kazakhstan,9.372394902941526
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Shygys Kazakhstan,5.470027174207239
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Shygys Kazakhstan,20.17603689629413
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Shygys Kazakhstan,17.19553520196607
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Shygys Kazakhstan,2.3157621228360776
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Nur-Sultan city,29.116626205069743
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Nur-Sultan city,58.58194290614169
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Nur-Sultan city,81.40430168994962
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Nur-Sultan city,66.34660045017685
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Nur-Sultan city,42.11386616170639
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Nur-Sultan city,47.29000678838115
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Nur-Sultan city,51.52470613455286
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Nur-Sultan city,50.11254421379828
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Nur-Sultan city,19.527314302047238
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Almaty city,58.2647278858238
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Almaty city,14.387030618252425
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Almaty city,42.261610021794986
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Almaty city,22.06011361465372
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Almaty city,4.796066765179487
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Almaty city,6.11468295897162
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Almaty city,12.10927904991013
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Almaty city,5.755202139729649
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Almaty city,2.0383576171334328
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Shymkent city,20.793399786609644
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Shymkent city,7.186347715501623
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Shymkent city,31.619929948207144
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Shymkent city,24.844230673591326
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Shymkent city,8.007644597273238
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Shymkent city,15.809964974103572
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Shymkent city,18.06853139897551
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Shymkent city,10.882183683473889
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Shymkent city,2.669214865757746
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,,25.313156102543765
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,,17.799810171106323
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,,46.157484718836415
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,,34.13156398713004
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,,11.163039450833647
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,,11.945806952837854
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,,16.716882940355724
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,,18.158221712603297
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,,3.035041029571563
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Akmola,33.55498730192671
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Akmola,12.439204359233663
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Akmola,36.77498733698005
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Akmola,44.62080170499458
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Akmola,20.12342281867432
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Akmola,12.41904868733996
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Akmola,21.801952120639584
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Akmola,20.452398437322
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Akmola,2.41009255835067
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Aktobe,26.028413025009943
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Aktobe,12.700088555401145
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Aktobe,45.45396510491605
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Aktobe,28.34984130413788
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Aktobe,12.1052450660237
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Aktobe,12.78569756611782
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Aktobe,12.942019947063184
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Aktobe,19.21684942471727
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Aktobe,1.871285297348085
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Almaty,21.643120045710702
