Year,Age,Area,Regions,Value
2016,age: 10-14 years old,Population of urban areas,Akmola,0.0980199960792001
2016,age: 10-14 years old,Population of urban areas,Aktobe,0.0
2016,age: 10-14 years old,Population of urban areas,Almaty,0.0
2016,age: 10-14 years old,Population of urban areas,Atyrau,0.0
2016,age: 10-14 years old,Population of urban areas,Batys Kazakhstan,0.0
2016,age: 10-14 years old,Population of urban areas,Zhambyl,0.0599970001499925
2016,age: 10-14 years old,Population of urban areas,Karagandy,0.0308475360530577
2016,age: 10-14 years old,Population of urban areas,Kostanay,0.0
2016,age: 10-14 years old,Population of urban areas,Kyzylorda,0.0
2016,age: 10-14 years old,Population of urban areas,Mangistau,0.0
2016,age: 10-14 years old,Population of urban areas,Ontustik Kazakhstan,0.0186598496016122
2016,age: 10-14 years old,Population of urban areas,Pavlodar,0.0
2016,age: 10-14 years old,Population of urban areas,Soltustik Kazakhstan,0.0
2016,age: 10-14 years old,Population of urban areas,Shygys Kazakhstan,0.0
2016,age: 10-14 years old,Population of urban areas,Nur-Sultan city,0.0
2016,age: 10-14 years old,Population of urban areas,Almaty city,0.0
2016,age: 10-14 years old,Population of rural areas,,0.0194773891858289
2016,age: 10-14 years old,Population of rural areas,Akmola,0.0
2016,age: 10-14 years old,Population of rural areas,Aktobe,0.0
2016,age: 10-14 years old,Population of rural areas,Almaty,0.0181435517816967
2016,age: 10-14 years old,Population of rural areas,Atyrau,0.0
2016,age: 10-14 years old,Population of rural areas,Batys Kazakhstan,0.0
2016,age: 10-14 years old,Population of rural areas,Zhambyl,0.03482439797322
2016,age: 10-14 years old,Population of rural areas,Karagandy,0.0
2016,age: 10-14 years old,Population of rural areas,Kostanay,0.0718003949021719
2016,age: 10-14 years old,Population of rural areas,Kyzylorda,0.1592737118738552
2016,age: 10-14 years old,Population of rural areas,Mangistau,0.0
2016,age: 10-14 years old,Population of rural areas,Ontustik Kazakhstan,0.0
2016,age: 10-14 years old,Population of rural areas,Pavlodar,0.0
2016,age: 10-14 years old,Population of rural areas,Soltustik Kazakhstan,0.0
2016,age: 10-14 years old,Population of rural areas,Shygys Kazakhstan,0.0
2016,15-19,,,28.10458708900485
2016,,,Akmola,26.028811201364267
2016,,,Aktobe,25.86516584840139
2016,,,Almaty,35.01756005024482
2016,,,Atyrau,35.11327281712487
2016,,,Batys Kazakhstan,26.18286774559324
2016,,,Zhambyl,41.08942065491184
2016,,,Karagandy,24.049562792575674
2016,,,Kostanay,24.55622514655844
2016,,,Kyzylorda,21.58428663932657
2016,,,Mangistau,42.24941724941725
2016,,,Ontustik Kazakhstan,31.771182664043828
2016,,,Pavlodar,25.180846537007834
2016,,,Soltustik Kazakhstan,26.133217185701398
2016,,,Shygys Kazakhstan,22.96335318987992
2016,,,Nur-Sultan city,18.71146076972145
2016,,,Almaty city,13.499080609110228
2016,,Population of urban areas,,25.18400379322608
2016,,Population of urban areas,Akmola,25.883737098240548
2016,,Population of urban areas,Aktobe,30.060483140777222
2016,,Population of urban areas,Almaty,37.002987818892215
2016,,Population of urban areas,Atyrau,40.14554275318376
2016,,Population of urban areas,Batys Kazakhstan,25.696418419556565
2016,,Population of urban areas,Zhambyl,31.9368251860652
2016,,Population of urban areas,Karagandy,23.858675420488
2016,,Population of urban areas,Kostanay,22.08927749654855
2016,,Population of urban areas,Kyzylorda,22.544580984939483
2016,,Population of urban areas,Mangistau,40.10125233146815
2016,,Population of urban areas,Ontustik Kazakhstan,31.73533672472459
2016,,Population of urban areas,Pavlodar,23.254912600286808
2016,,Population of urban areas,Soltustik Kazakhstan,21.914550242079333
2016,,Population of urban areas,Shygys Kazakhstan,23.7741456166419
2016,,Population of urban areas,Nur-Sultan city,18.71146076972145
2016,,Population of urban areas,Almaty city,13.499080609110228
2016,,Population of rural areas,,31.119631844965497
2016,,Population of rural areas,Akmola,26.13368384428036
2016,,Population of rural areas,Aktobe,20.715714603245164
2016,,Population of rural areas,Almaty,34.44748737915333
2016,,Population of rural areas,Atyrau,31.333970943207174
2016,,Population of rural areas,Batys Kazakhstan,26.58621664938249
2016,,Population of rural areas,Zhambyl,46.59174456464657
2016,,Population of rural areas,Karagandy,24.609278094765564
2016,,Population of rural areas,Kostanay,26.537551744529864
2016,,Population of rural areas,Kyzylorda,20.9720176730486
2016,,Population of rural areas,Mangistau,43.48158337154211
2016,,Population of rural areas,Ontustik Kazakhstan,31.795164610599397
2016,,Population of rural areas,Pavlodar,28.69257950530035
2016,,Population of rural areas,Soltustik Kazakhstan,28.57142857142857
2016,,Population of rural areas,Shygys Kazakhstan,22.02540496445636
2017,age: 10-14 years old,,,0.0200450705702128
2017,age: 10-14 years old,,Akmola,0.0
2017,age: 10-14 years old,,Aktobe,0.0
2017,age: 10-14 years old,,Almaty,0.0400069345353194
2017,age: 10-14 years old,,Atyrau,0.0
2017,age: 10-14 years old,,Batys Kazakhstan,0.0943618778013682
2017,age: 10-14 years old,,Zhambyl,0.0
2017,age: 10-14 years old,,Karagandy,0.0220580125730671
2017,age: 10-14 years old,,Kostanay,0.0384341910563637
2017,age: 10-14 years old,,Kyzylorda,0.0
2017,age: 10-14 years old,,Mangistau,0.0
2017,age: 10-14 years old,,Ontustik Kazakhstan,0.0147451847755967
2017,age: 10-14 years old,,Pavlodar,0.0
2017,age: 10-14 years old,,Soltustik Kazakhstan,0.0
2017,age: 10-14 years old,,Shygys Kazakhstan,0.0690067626627409
2017,age: 10-14 years old,,Nur-Sultan city,0.0
2017,age: 10-14 years old,,Almaty city,0.0209305732884023
2017,age: 10-14 years old,Population of urban areas,,0.0182590039713333
2017,age: 10-14 years old,Population of urban areas,Akmola,0.0
2017,age: 10-14 years old,Population of urban areas,Aktobe,0.0
2017,age: 10-14 years old,Population of urban areas,Almaty,0.1217952621643018
2017,age: 10-14 years old,Population of urban areas,Atyrau,0.0
2017,age: 10-14 years old,Population of urban areas,Batys Kazakhstan,0.1081314878892733
2017,age: 10-14 years old,Population of urban areas,Zhambyl,0.0
2017,age: 10-14 years old,Population of urban areas,Karagandy,0.0
2017,age: 10-14 years old,Population of urban areas,Kostanay,0.0814597588791137
2017,age: 10-14 years old,Population of urban areas,Kyzylorda,0.0
2017,age: 10-14 years old,Population of urban areas,Mangistau,0.0
2017,age: 10-14 years old,Population of urban areas,Ontustik Kazakhstan,0.0
2017,age: 10-14 years old,Population of urban areas,Pavlodar,0.0
2017,age: 10-14 years old,Population of urban areas,Soltustik Kazakhstan,0.0
2017,age: 10-14 years old,Population of urban areas,Shygys Kazakhstan,0.0435094741880044
2017,age: 10-14 years old,Population of urban areas,Nur-Sultan city,0.0
2017,age: 10-14 years old,Population of urban areas,Almaty city,0.0209305732884023
2017,age: 10-14 years old,Population of rural areas,,0.0218795468433283
2017,age: 10-14 years old,Population of rural areas,Akmola,0.0
2017,age: 10-14 years old,Population of rural areas,Aktobe,0.0
2017,age: 10-14 years old,Population of rural areas,Almaty,0.0170747532698152
2017,age: 10-14 years old,Population of rural areas,Atyrau,0.0
2017,age: 10-14 years old,Population of rural areas,Batys Kazakhstan,0.0837030216790826
2017,age: 10-14 years old,Population of rural areas,Zhambyl,0.0
2017,age: 10-14 years old,Population of rural areas,Karagandy,0.0886760663296976
2017,age: 10-14 years old,Population of rural areas,Kostanay,0.0
2017,age: 10-14 years old,Population of rural areas,Kyzylorda,0.0
2017,age: 10-14 years old,Population of rural areas,Mangistau,0.0
2017,age: 10-14 years old,Population of rural areas,Ontustik Kazakhstan,0.0254224900057836
2017,age: 10-14 years old,Population of rural areas,Pavlodar,0.0
2017,age: 10-14 years old,Population of rural areas,Soltustik Kazakhstan,0.0
2017,age: 10-14 years old,Population of rural areas,Shygys Kazakhstan,0.0999125764955663
2017,15-19,,,24.904794458158783
2017,,,Akmola,24.91103202846975
2017,,,Aktobe,21.32996186708538
2017,,,Almaty,29.718658867555583
2017,,,Atyrau,30.987023200943767
2017,,,Batys Kazakhstan,20.482343264970417
2017,,,Zhambyl,35.465970943860995
2017,,,Karagandy,20.458821070234112
2017,,,Kostanay,20.098612736085578
2017,,,Kyzylorda,19.796525507768024
2017,,,Mangistau,39.81042654028436
2017,,,Ontustik Kazakhstan,30.00188521720396
2017,,,Pavlodar,22.077554486272287
2017,,,Soltustik Kazakhstan,20.537024044900825
2017,,,Shygys Kazakhstan,20.39030488228349
2017,,,Nur-Sultan city,14.987845223081282
2017,,,Almaty city,12.750264661059342
2017,,Population of urban areas,,22.376501618855627
2017,,Population of urban areas,Akmola,23.27127659574468
2017,,Population of urban areas,Aktobe,25.45857617906819
2017,,Population of urban areas,Almaty,33.22412796299865
2017,,Population of urban areas,Atyrau,33.21614741180749
2017,,Population of urban areas,Batys Kazakhstan,19.05504791620236
2017,,Population of urban areas,Zhambyl,26.831193055455916
2017,,Population of urban areas,Karagandy,20.31712841958529
2017,,Population of urban areas,Kostanay,16.93425253319761
2017,,Population of urban areas,Kyzylorda,21.29845866417562
2017,,Population of urban areas,Mangistau,41.15170446828738
2017,,Population of urban areas,Ontustik Kazakhstan,31.088540516670346
2017,,Population of urban areas,Pavlodar,19.34281977089857
2017,,Population of urban areas,Soltustik Kazakhstan,17.260918838810912
2017,,Population of urban areas,Shygys Kazakhstan,20.179874934602257
2017,,Population of urban areas,Nur-Sultan city,14.987845223081282
2017,,Population of urban areas,Almaty city,12.750264661059342
2017,,Population of rural areas,,27.55834981793084
2017,,Population of rural areas,Akmola,26.138909634055263
2017,,Population of rural areas,Aktobe,15.85041761579347
2017,,Population of rural areas,Almaty,28.737554071692863
2017,,Population of rural areas,Atyrau,29.288123065551808
2017,,Population of rural areas,Batys Kazakhstan,21.779871346806463
2017,,Population of rural areas,Zhambyl,40.51982952278978
2017,,Population of rural areas,Karagandy,20.883366398663465
2017,,Population of rural areas,Kostanay,22.70389699440021
2017,,Population of rural areas,Kyzylorda,18.823386999152643
2017,,Population of rural areas,Mangistau,39.06279571520497
2017,,Population of rural areas,Ontustik Kazakhstan,29.25737107241729
2017,,Population of rural areas,Pavlodar,27.138037259791695
2017,,Population of rural areas,Soltustik Kazakhstan,22.42671091667924
2017,,Population of rural areas,Shygys Kazakhstan,20.05975245411865
2018,age: 10-14 years old,,,0.0217718829195224
2018,age: 10-14 years old,,Akmola,0.0778104149240375
2018,age: 10-14 years old,,Aktobe,0.0646443751313088
2018,age: 10-14 years old,,Almaty,0.0250239291322326
2018,age: 10-14 years old,,Atyrau,0.0386585483715086
2018,age: 10-14 years old,,Batys Kazakhstan,0.0452427272315975
2018,age: 10-14 years old,,Zhambyl,0.0195646857422352
2018,age: 10-14 years old,,Karagandy,0.0
2018,age: 10-14 years old,,Kostanay,0.0
2018,age: 10-14 years old,,Kyzylorda,0.0284831308657447
2018,age: 10-14 years old,,Mangistau,0.0
2018,age: 10-14 years old,,Pavlodar,0.0
2018,age: 10-14 years old,,Soltustik Kazakhstan,0.0570011685239547
2018,age: 10-14 years old,,Turkistan,0.0
2018,age: 10-14 years old,,Shygys Kazakhstan,0.0
2018,age: 10-14 years old,,Nur-Sultan city,0.0626959247648902
2018,age: 10-14 years old,,Almaty city,0.0190000285000427
2018,age: 10-14 years old,,Shymkent city,0.02
2018,age: 10-14 years old,Population of urban areas,,0.0281344206349094
2018,age: 10-14 years old,Population of urban areas,Akmola,0.1840434342504831
2018,age: 10-14 years old,Population of urban areas,Aktobe,0.0495970241785492
2018,age: 10-14 years old,Population of urban areas,Almaty,0.0
2018,age: 10-14 years old,Population of urban areas,Atyrau,0.0
2018,age: 10-14 years old,Population of urban areas,Batys Kazakhstan,0.1008318628686665
2018,age: 10-14 years old,Population of urban areas,Zhambyl,0.0537331076542811
2018,age: 10-14 years old,Population of urban areas,Karagandy,0.0
2018,age: 10-14 years old,Population of urban areas,Kostanay,0.0
2018,age: 10-14 years old,Population of urban areas,Kyzylorda,0.0
2018,age: 10-14 years old,Population of urban areas,Mangistau,0.0
2018,age: 10-14 years old,Population of urban areas,Pavlodar,0.0
2018,age: 10-14 years old,Population of urban areas,Soltustik Kazakhstan,0.1557996416608241
2018,age: 10-14 years old,Population of urban areas,Turkistan,0.0
2018,age: 10-14 years old,Population of urban areas,Shygys Kazakhstan,0.0
2018,age: 10-14 years old,Population of urban areas,Nur-Sultan city,0.0626959247648902
2018,age: 10-14 years old,Population of urban areas,Almaty city,0.0190000285000427
2018,age: 10-14 years old,Population of urban areas,Shymkent city,0.02
2018,age: 10-14 years old,Population of rural areas,,0.0149913574824113
2018,age: 10-14 years old,Population of rural areas,Akmola,0.0
2018,age: 10-14 years old,Population of rural areas,Aktobe,0.0927988121752041
2018,age: 10-14 years old,Population of rural areas,Almaty,0.0317727612118131
2018,age: 10-14 years old,Population of rural areas,Atyrau,0.0759762953958365
2018,age: 10-14 years old,Population of rural areas,Batys Kazakhstan,0.0
2018,age: 10-14 years old,Population of rural areas,Zhambyl,0.0
2018,age: 10-14 years old,Population of rural areas,Karagandy,0.0
2018,age: 10-14 years old,Population of rural areas,Kostanay,0.0
2018,age: 10-14 years old,Population of rural areas,Kyzylorda,0.048344210780759
2018,age: 10-14 years old,Population of rural areas,Mangistau,0.0
2018,age: 10-14 years old,Population of rural areas,Pavlodar,0.0
2018,age: 10-14 years old,Population of rural areas,Soltustik Kazakhstan,0.0
2018,age: 10-14 years old,Population of rural areas,Turkistan,0.0
2018,age: 10-14 years old,Population of rural areas,Shygys Kazakhstan,0.0
2018,15-19,,,23.93
2018,,,Akmola,21.61
2018,,,Aktobe,17.74
2018,,,Almaty,28.76
2018,,,Atyrau,28.21
2018,,,Batys Kazakhstan,20.94
2018,,,Zhambyl,36.64
2018,,,Karagandy,20.41
2018,,,Kostanay,18.63
2018,,,Kyzylorda,20.65
2018,,,Mangistau,35.04
2018,,,Pavlodar,18.47
2018,,,Soltustik Kazakhstan,19.55
2018,,,Turkistan,30.92
2018,,,Shygys Kazakhstan,19.52
2018,,,Nur-Sultan city,15.07
2018,,,Almaty city,12.31
2018,,,Shymkent city,24.34
2018,,Population of urban areas,,21.09
2018,,Population of urban areas,Akmola,20.1
2018,,Population of urban areas,Aktobe,18.9
2018,,Population of urban areas,Almaty,31.06
2018,,Population of urban areas,Atyrau,28.76
2018,,Population of urban areas,Batys Kazakhstan,20.77
2018,,Population of urban areas,Zhambyl,29.45
2018,,Population of urban areas,Karagandy,20.1
2018,,Population of urban areas,Kostanay,14.14
2018,,Population of urban areas,Kyzylorda,20.81
2018,,Population of urban areas,Mangistau,36.41
2018,,Population of urban areas,Pavlodar,16.43
2018,,Population of urban areas,Soltustik Kazakhstan,16.84
2018,,Population of urban areas,Turkistan,38.55
2018,,Population of urban areas,Shygys Kazakhstan,19.48
2018,,Population of urban areas,Nur-Sultan city,15.07
2018,,Population of urban areas,Almaty city,12.31
2018,,Population of urban areas,Shymkent city,24.34
2018,,Population of rural areas,,27.01
2018,,Population of rural areas,Akmola,22.74
2018,,Population of rural areas,Aktobe,15.65
2018,,Population of rural areas,Almaty,28.14
2018,,Population of rural areas,Atyrau,27.68
2018,,Population of rural areas,Batys Kazakhstan,21.1
2018,,Population of rural areas,Zhambyl,40.8
2018,,Population of rural areas,Karagandy,21.36
2018,,Population of rural areas,Kostanay,22.51
2018,,Population of rural areas,Kyzylorda,20.54
2018,,Population of rural areas,Mangistau,34.27
2018,,Population of rural areas,Pavlodar,22.26
2018,,Population of rural areas,Soltustik Kazakhstan,21.07
2018,,Population of rural areas,Turkistan,29.23
2018,,Population of rural areas,Shygys Kazakhstan,19.57
2019,age: 10-14 years old,,,0.024606669227583
2019,age: 10-14 years old,,Akmola,0.037500937523438
2019,age: 10-14 years old,,Aktobe,0.0302411733575262
2019,age: 10-14 years old,,Almaty,0.0469819941507417
2019,age: 10-14 years old,,Atyrau,0.0360405816949885
2019,age: 10-14 years old,,Batys Kazakhstan,0.0
2019,age: 10-14 years old,,Zhambyl,0.0551343900758097
2019,age: 10-14 years old,,Karagandy,0.0412711514651258
2019,age: 10-14 years old,,Kostanay,0.0
2019,age: 10-14 years old,,Kyzylorda,0.0
2019,age: 10-14 years old,,Mangistau,0.0
2019,age: 10-14 years old,,Pavlodar,0.0
2019,age: 10-14 years old,,Soltustik Kazakhstan,0.0
2019,age: 10-14 years old,,Turkistan,0.0
2019,age: 10-14 years old,,Shygys Kazakhstan,0.0419498280057051
2019,age: 10-14 years old,,Nur-Sultan city,0.0277611981733131
2019,age: 10-14 years old,,Almaty city,0.0
2019,age: 10-14 years old,,Shymkent city,0.0661346501477007
2019,age: 10-14 years old,Population of urban areas,,0.0182181835690202
2019,age: 10-14 years old,Population of urban areas,Akmola,0.0
2019,age: 10-14 years old,Population of urban areas,Aktobe,0.0456266824839165
2019,age: 10-14 years old,Population of urban areas,Almaty,0.0
2019,age: 10-14 years old,Population of urban areas,Atyrau,0.0692281066112841
2019,age: 10-14 years old,Population of urban areas,Batys Kazakhstan,0.0
2019,age: 10-14 years old,Population of urban areas,Zhambyl,0.0
2019,age: 10-14 years old,Population of urban areas,Karagandy,0.0270244706581809
2019,age: 10-14 years old,Population of urban areas,Kostanay,0.0
2019,age: 10-14 years old,Population of urban areas,Kyzylorda,0.0
2019,age: 10-14 years old,Population of urban areas,Mangistau,0.0
2019,age: 10-14 years old,Population of urban areas,Pavlodar,0.0
2019,age: 10-14 years old,Population of urban areas,Soltustik Kazakhstan,0.0
2019,age: 10-14 years old,Population of urban areas,Turkistan,0.0
2019,age: 10-14 years old,Population of urban areas,Shygys Kazakhstan,0.0
2019,age: 10-14 years old,Population of urban areas,Nur-Sultan city,0.0277611981733131
2019,age: 10-14 years old,Population of urban areas,Almaty city,0.0
2019,age: 10-14 years old,Population of urban areas,Shymkent city,0.0661346501477007
2019,age: 10-14 years old,Population of rural areas,,0.0316749573467903
2019,age: 10-14 years old,Population of rural areas,Akmola,0.0660218532334202
2019,age: 10-14 years old,Population of rural areas,Aktobe,0.0
2019,age: 10-14 years old,Population of rural areas,Almaty,0.0594018236359856
2019,age: 10-14 years old,Population of rural areas,Atyrau,0.0
2019,age: 10-14 years old,Population of rural areas,Batys Kazakhstan,0.0
2019,age: 10-14 years old,Population of rural areas,Zhambyl,0.0869590422910809
2019,age: 10-14 years old,Population of rural areas,Karagandy,0.0872866931436302
2019,age: 10-14 years old,Population of rural areas,Kostanay,0.0
2019,age: 10-14 years old,Population of rural areas,Kyzylorda,0.0
2019,age: 10-14 years old,Population of rural areas,Mangistau,0.0
2019,age: 10-14 years old,Population of rural areas,Pavlodar,0.0
2019,age: 10-14 years old,Population of rural areas,Soltustik Kazakhstan,0.0
2019,age: 10-14 years old,Population of rural areas,Turkistan,0.0
2019,age: 10-14 years old,Population of rural areas,Shygys Kazakhstan,0.0920683146894996
2019,15-19,,,23.2
2019,,,Akmola,21.6
2019,,,Aktobe,18.06
2019,,,Almaty,27.35
2019,,,Atyrau,25.96
2019,,,Batys Kazakhstan,18.71
2019,,,Zhambyl,33.73
2019,,,Karagandy,19.91
2019,,,Kostanay,18.48
2019,,,Kyzylorda,18.95
2019,,,Mangistau,33.98
2019,,,Pavlodar,18.24
2019,,,Soltustik Kazakhstan,19.15
2019,,,Turkistan,31.97
2019,,,Shygys Kazakhstan,17.23
2019,,,Nur-Sultan city,11.69
2019,,,Almaty city,12.39
2019,,,Shymkent city,25.44
2019,,Population of urban areas,,20.61
2019,,Population of urban areas,Akmola,19.76
2019,,Population of urban areas,Aktobe,20.01
2019,,Population of urban areas,Almaty,30.27
2019,,Population of urban areas,Atyrau,24.43
2019,,Population of urban areas,Batys Kazakhstan,19.1
2019,,Population of urban areas,Zhambyl,27.77
2019,,Population of urban areas,Karagandy,19.23
2019,,Population of urban areas,Kostanay,15.33
2019,,Population of urban areas,Kyzylorda,19.44
2019,,Population of urban areas,Mangistau,29.86
2019,,Population of urban areas,Pavlodar,16.52
2019,,Population of urban areas,Soltustik Kazakhstan,16.43
2019,,Population of urban areas,Turkistan,45.85
2019,,Population of urban areas,Shygys Kazakhstan,16.49
2019,,Population of urban areas,Nur-Sultan city,11.69
2019,,Population of urban areas,Almaty city,12.39
2019,,Population of urban areas,Shymkent city,20.61
2019,,Population of rural areas,,26.04
2019,,Population of rural areas,Akmola,22.95
2019,,Population of rural areas,Aktobe,14.49
2019,,Population of rural areas,Almaty,26.57
2019,,Population of rural areas,Atyrau,27.53
2019,,Population of rural areas,Batys Kazakhstan,18.36
2019,,Population of rural areas,Zhambyl,37.14
2019,,Population of rural areas,Karagandy,21.96
2019,,Population of rural areas,Kostanay,21.61
2019,,Population of rural areas,Kyzylorda,18.64
2019,,Population of rural areas,Mangistau,36.34
2019,,Population of rural areas,Pavlodar,21.43
2019,,Population of rural areas,Soltustik Kazakhstan,20.7
2019,,Population of rural areas,Turkistan,28.85
2019,,Population of rural areas,Shygys Kazakhstan,18.16
