Year,UNIT_MEASURE,Regions,Value
2010,thousand people,,27532.0
2010,thousand people,Akmola,3780.0
2010,thousand people,Aktobe,3033.0
2010,thousand people,Almaty,1516.0
2010,thousand people,Atyrau,1536.0
2010,thousand people,Batys Kazakhstan,1034.0
2010,thousand people,Zhambyl,2805.0
2010,thousand people,Karagandy,2163.0
2010,thousand people,Kostanay,1300.0
2010,thousand people,Kyzylorda,347.0
2010,thousand people,Mangistau,1633.0
2010,thousand people,Ontustik Kazakhstan,2105.0
2010,thousand people,Pavlodar,2513.0
2010,thousand people,Soltustik Kazakhstan,935.0
2010,thousand people,Shygys Kazakhstan,1839.0
2010,thousand people,Nur-Sultan city,466.0
2010,thousand people,Almaty city,527.0
2011,thousand people,,26298.0
2011,thousand people,Akmola,1870.0
2011,thousand people,Aktobe,2809.0
2011,thousand people,Almaty,2746.0
2011,thousand people,Atyrau,1198.0
2011,thousand people,Batys Kazakhstan,784.0
2011,thousand people,Zhambyl,2125.0
2011,thousand people,Karagandy,1933.0
2011,thousand people,Kostanay,1881.0
2011,thousand people,Kyzylorda,767.0
2011,thousand people,Mangistau,2260.0
2011,thousand people,Ontustik Kazakhstan,1628.0
2011,thousand people,Pavlodar,1278.0
2011,thousand people,Soltustik Kazakhstan,561.0
2011,thousand people,Shygys Kazakhstan,1293.0
2011,thousand people,Nur-Sultan city,1059.0
2011,thousand people,Almaty city,2106.0
2012,thousand people,,20615.0
2012,thousand people,Akmola,1090.0
2012,thousand people,Aktobe,987.0
2012,thousand people,Almaty,2261.0
2012,thousand people,Atyrau,695.0
2012,thousand people,Batys Kazakhstan,756.0
2012,thousand people,Zhambyl,430.0
2012,thousand people,Karagandy,1610.0
2012,thousand people,Kostanay,1528.0
2012,thousand people,Kyzylorda,315.0
2012,thousand people,Mangistau,1962.0
2012,thousand people,Ontustik Kazakhstan,2158.0
2012,thousand people,Pavlodar,1432.0
2012,thousand people,Soltustik Kazakhstan,417.0
2012,thousand people,Shygys Kazakhstan,2042.0
2012,thousand people,Nur-Sultan city,1328.0
2012,thousand people,Almaty city,1604.0
2013,thousand people,,20909.0
2013,thousand people,Akmola,1033.0
2013,thousand people,Aktobe,1455.0
2013,thousand people,Almaty,2539.0
2013,thousand people,Atyrau,580.0
2013,thousand people,Batys Kazakhstan,601.0
2013,thousand people,Zhambyl,838.0
2013,thousand people,Karagandy,1561.0
2013,thousand people,Kostanay,1544.0
2013,thousand people,Kyzylorda,95.0
2013,thousand people,Mangistau,819.0
2013,thousand people,Ontustik Kazakhstan,3652.0
2013,thousand people,Pavlodar,1257.0
2013,thousand people,Soltustik Kazakhstan,358.0
2013,thousand people,Shygys Kazakhstan,1878.0
2013,thousand people,Nur-Sultan city,1165.0
2013,thousand people,Almaty city,1534.0
2014,thousand people,,21695.0
2014,thousand people,Akmola,1446.0
2014,thousand people,Aktobe,1197.0
2014,thousand people,Almaty,2020.0
2014,thousand people,Atyrau,967.0
2014,thousand people,Batys Kazakhstan,913.0
2014,thousand people,Zhambyl,1593.0
2014,thousand people,Karagandy,1637.0
2014,thousand people,Kostanay,955.0
2014,thousand people,Kyzylorda,1023.0
2014,thousand people,Mangistau,1115.0
2014,thousand people,Ontustik Kazakhstan,3689.0
2014,thousand people,Pavlodar,1589.0
2014,thousand people,Soltustik Kazakhstan,635.0
2014,thousand people,Shygys Kazakhstan,2044.0
2014,thousand people,Nur-Sultan city,552.0
2014,thousand people,Almaty city,320.0
2015,thousand people,,21497.0
2015,thousand people,Akmola,1971.0
2015,thousand people,Aktobe,2092.0
2015,thousand people,Almaty,1709.0
2015,thousand people,Atyrau,980.0
2015,thousand people,Batys Kazakhstan,873.0
2015,thousand people,Zhambyl,1215.0
2015,thousand people,Karagandy,1549.0
2015,thousand people,Kostanay,626.0
2015,thousand people,Kyzylorda,953.0
2015,thousand people,Mangistau,983.0
2015,thousand people,Ontustik Kazakhstan,2931.0
2015,thousand people,Pavlodar,2192.0
2015,thousand people,Soltustik Kazakhstan,937.0
2015,thousand people,Shygys Kazakhstan,1452.0
2015,thousand people,Nur-Sultan city,565.0
2015,thousand people,Almaty city,469.0
2016,thousand people,,22102.0
2016,thousand people,Akmola,1902.0
2016,thousand people,Aktobe,1154.0
2016,thousand people,Almaty,1650.0
2016,thousand people,Atyrau,1435.0
2016,thousand people,Batys Kazakhstan,1028.0
2016,thousand people,Zhambyl,1146.0
