Year,UNIT_MEASURE,Value
2010,Percent,34.3
2011,Percent,32.7
2012,Percent,32.7
2013,Percent,30.7
2014,Percent,31.4
2015,Percent,32.2
2016,Percent,30.3
2017,Percent,30.5
2018,Percent,30.5
2019,Percent,30.5
