Year,UNIT_MEASURE,Value
2014,Number of individuals,134752.0
2015,Number of individuals,159480.0
2016,Number of individuals,155870.0
2017,Number of individuals,164105.0
2018,Number of individuals,166695.0
2019,Number of individuals,156114.0
