Year,UNIT_MEASURE,Value
2010,units,7.78
2011,units,8.18
2012,units,8.1
2013,units,7.93
2014,units,8.15
2015,units,8.14
2016,units,8.51
2017,units,7.95
2018,units,8.26
2019,units,8.04
