Year,UNIT_MEASURE,Regions,Value
2012,Percent,,1.0
2013,Percent,,1.58
2014,Percent,,2.21
2015,Percent,,1.8
2016,Percent,,2.6
2017,Percent,,9.0
2018,Percent,,11.51
2019,Percent,,14.9
2019,Percent,Akmola,3.0
2019,Percent,Aktobe,10.0
2019,Percent,Almaty,23.3
2019,Percent,Atyrau,10.4
2019,Percent,Batys Kazakhstan,8.6
2019,Percent,Zhambyl,8.5
2019,Percent,Karagandy,17.4
2019,Percent,Kostanay,10.3
2019,Percent,Kyzylorda,10.8
2019,Percent,Mangistau,33.8
2019,Percent,Pavlodar,15.0
2019,Percent,Soltustik Kazakhstan,10.8
2019,Percent,Turkistan,10.1
2019,Percent,Shygys Kazakhstan,3.3
2019,Percent,Nur-Sultan city,15.9
2019,Percent,Almaty city,11.0
2019,Percent,Shymkent city,22.7
