Year,UNIT_MEASURE,Value
2010,Percent,87.1
2011,Percent,71.4
2012,Percent,54.9
2013,Percent,56.4
2014,Percent,54.2
2015,Percent,77.0
2016,Percent,73.2
2017,Percent,73.1
2018,Percent,59.3
2019,Percent,64.0
