Year,UNIT_MEASURE,Value
2010,Percent,17.4
2011,Percent,18.1
2012,Percent,17.5
2013,Percent,18.5
2014,Percent,17.8
2015,Percent,19.3
2016,Percent,19.1
2017,Percent,17.1
2018,Percent,22.4
2019,Percent,23.2
