Year,UNIT_MEASURE,Value
2010,Percent,1.5
2011,Percent,1.5
2012,Percent,1.3
2013,Percent,0.8
2014,Percent,0.7
2015,Percent,0.6
2016,Percent,0.7
2017,Percent,0.8
2018,Percent,0.6
