Year,UNIT_MEASURE,Value
2012,Percent,17.0
2013,Percent,18.0
2014,Percent,23.0
2015,Percent,23.12
2016,Percent,26.8
2017,Percent,30.86
2018,Percent,32.2
2019,Percent,34.0
