Year,UNIT_MEASURE,Regions,Value
2010,"percent, base year 2010",,11.3
2010,"percent, base year 2010",Akmola,13.4
2010,"percent, base year 2010",Aktobe,7.9
2010,"percent, base year 2010",Almaty,17.0
2010,"percent, base year 2010",Atyrau,5.5
2010,"percent, base year 2010",Batys Kazakhstan,4.7
2010,"percent, base year 2010",Zhambyl,13.2
2010,"percent, base year 2010",Karagandy,33.2
2010,"percent, base year 2010",Kostanay,9.5
2010,"percent, base year 2010",Kyzylorda,2.3
2010,"percent, base year 2010",Mangistau,3.0
2010,"percent, base year 2010",Ontustik Kazakhstan,21.8
2010,"percent, base year 2010",Pavlodar,28.3
2010,"percent, base year 2010",Soltustik Kazakhstan,8.5
2010,"percent, base year 2010",Shygys Kazakhstan,19.8
2010,"percent, base year 2010",Nur-Sultan city,3.0
2010,"percent, base year 2010",Almaty city,5.2
2010,tenge per US dollars in 2010 prices,,1027.0
2010,tenge per US dollars in 2010 prices,Akmola,728.0
2010,tenge per US dollars in 2010 prices,Aktobe,821.5
2010,tenge per US dollars in 2010 prices,Almaty,622.4
2010,tenge per US dollars in 2010 prices,Atyrau,2014.1
2010,tenge per US dollars in 2010 prices,Batys Kazakhstan,549.8
2010,tenge per US dollars in 2010 prices,Zhambyl,384.0
2010,tenge per US dollars in 2010 prices,Karagandy,3122.5
2010,tenge per US dollars in 2010 prices,Kostanay,628.0
2010,tenge per US dollars in 2010 prices,Kyzylorda,194.8
2010,tenge per US dollars in 2010 prices,Mangistau,588.3
2010,tenge per US dollars in 2010 prices,Ontustik Kazakhstan,703.3
2010,tenge per US dollars in 2010 prices,Pavlodar,2660.1
2010,tenge per US dollars in 2010 prices,Soltustik Kazakhstan,455.6
2010,tenge per US dollars in 2010 prices,Shygys Kazakhstan,1198.7
2010,tenge per US dollars in 2010 prices,Nur-Sultan city,528.2
2010,tenge per US dollars in 2010 prices,Almaty city,978.3
2011,"percent, base year 2010",,11.3
2011,"percent, base year 2010",Akmola,13.0
2011,"percent, base year 2010",Aktobe,8.0
2011,"percent, base year 2010",Almaty,17.6
2011,"percent, base year 2010",Atyrau,5.3
2011,"percent, base year 2010",Batys Kazakhstan,4.8
2011,"percent, base year 2010",Zhambyl,14.8
2011,"percent, base year 2010",Karagandy,33.2
2011,"percent, base year 2010",Kostanay,8.5
