Year,UNIT_MEASURE,SERIES,Regions,Value
2013,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Mangistau,29.9
2013,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Ontustik Kazakhstan,1.0
2013,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Pavlodar,50.0
2013,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Soltustik Kazakhstan,33.8
2013,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Shygys Kazakhstan,66.4
2013,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Nur-Sultan city,79.0
2013,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Almaty city,176.2
2013,thousands,выше 10 Мбит/сек,Akmola,11.6
2013,thousands,выше 10 Мбит/сек,Aktobe,9.5
2013,thousands,выше 10 Мбит/сек,Almaty,12.1
2013,thousands,выше 10 Мбит/сек,Atyrau,11.4
2013,thousands,выше 10 Мбит/сек,Batys Kazakhstan,7.4
2013,thousands,выше 10 Мбит/сек,Zhambyl,9.9
2013,thousands,выше 10 Мбит/сек,Karagandy,36.3
2013,thousands,выше 10 Мбит/сек,Kostanay,5.6
2013,thousands,выше 10 Мбит/сек,Kyzylorda,5.1
2013,thousands,выше 10 Мбит/сек,Mangistau,11.1
2013,thousands,выше 10 Мбит/сек,Ontustik Kazakhstan,79.7
2013,thousands,выше 10 Мбит/сек,Pavlodar,17.7
2013,thousands,выше 10 Мбит/сек,Soltustik Kazakhstan,5.4
2013,thousands,выше 10 Мбит/сек,Shygys Kazakhstan,17.0
2013,thousands,выше 10 Мбит/сек,Nur-Sultan city,27.1
2013,thousands,выше 10 Мбит/сек,Almaty city,396.5
2014,thousands,,,2093.2
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,,264.2
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Akmola,16.4
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Aktobe,9.8
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Almaty,12.4
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Atyrau,7.1
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Batys Kazakhstan,10.2
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Zhambyl,12.9
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Karagandy,15.6
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Kostanay,15.6
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Kyzylorda,11.7
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Mangistau,5.3
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Ontustik Kazakhstan,13.2
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Pavlodar,15.6
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Soltustik Kazakhstan,22.4
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Shygys Kazakhstan,12.8
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Nur-Sultan city,40.5
2014,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Almaty city,42.6
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,,881.4
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Akmola,52.3
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Aktobe,45.8
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Almaty,76.9
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Atyrau,44.7
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Batys Kazakhstan,21.5
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Zhambyl,30.1
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Karagandy,86.9
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Kostanay,64.5
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Kyzylorda,20.9
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Mangistau,26.8
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Ontustik Kazakhstan,47.9
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Pavlodar,49.8
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Soltustik Kazakhstan,37.5
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Shygys Kazakhstan,65.2
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Nur-Sultan city,44.6
2014,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Almaty city,165.8
2014,thousands,выше 10 Мбит/сек,Akmola,16.8
2014,thousands,выше 10 Мбит/сек,Aktobe,16.7
2014,thousands,выше 10 Мбит/сек,Almaty,22.5
2014,thousands,выше 10 Мбит/сек,Atyrau,18.3
2014,thousands,выше 10 Мбит/сек,Batys Kazakhstan,12.2
2014,thousands,выше 10 Мбит/сек,Zhambyl,12.4
2014,thousands,выше 10 Мбит/сек,Karagandy,55.4
2014,thousands,выше 10 Мбит/сек,Kostanay,24.1
2014,thousands,выше 10 Мбит/сек,Kyzylorda,9.4
2014,thousands,выше 10 Мбит/сек,Mangistau,21.0
2014,thousands,выше 10 Мбит/сек,Ontustik Kazakhstan,17.6
2014,thousands,выше 10 Мбит/сек,Pavlodar,29.3
2014,thousands,выше 10 Мбит/сек,Soltustik Kazakhstan,9.6
2014,thousands,выше 10 Мбит/сек,Shygys Kazakhstan,37.6
2014,thousands,выше 10 Мбит/сек,Nur-Sultan city,44.6
2014,thousands,выше 10 Мбит/сек,Almaty city,509.5
2015,thousands,,,2301.0
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,,271.6
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Akmola,14.0
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Aktobe,11.5
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Almaty,9.6
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Atyrau,7.0
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Batys Kazakhstan,8.2
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Zhambyl,10.6
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Karagandy,15.6
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Kostanay,20.0
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Kyzylorda,9.6
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Mangistau,3.3
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Ontustik Kazakhstan,13.7
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Pavlodar,11.6
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Soltustik Kazakhstan,17.9
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Shygys Kazakhstan,9.2
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Nur-Sultan city,53.2
2015,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Almaty city,56.8
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,,767.1
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Akmola,54.6
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Aktobe,40.4
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Almaty,79.6
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Atyrau,42.5
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Batys Kazakhstan,18.9
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Zhambyl,26.9
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Karagandy,71.5
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Kostanay,45.7
