Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,millions of US dollars,Kazakhstan as beneficiary,1.0
2011,millions of US dollars,Kazakhstan as beneficiary,0.12
2012,millions of US dollars,Kazakhstan as beneficiary,0.53
2013,millions of US dollars,Kazakhstan as beneficiary,10.92
2014,millions of US dollars,Kazakhstan as beneficiary,0.22
2015,millions of US dollars,Kazakhstan as beneficiary,0.01
2016,millions of US dollars,Kazakhstan as beneficiary,2.4
2017,millions of US dollars,Kazakhstan as beneficiary,3.01
