Year,UNIT_MEASURE,Regions,Value
2010,Number of individuals,,107786.0
2010,Number of individuals,Akmola,1423.0
2010,Number of individuals,Aktobe,5642.0
2010,Number of individuals,Almaty,3869.0
2010,Number of individuals,Atyrau,1558.0
2010,Number of individuals,Batys Kazakhstan,3019.0
2010,Number of individuals,Karagandy,9640.0
2010,Number of individuals,Kostanay,6198.0
2010,Number of individuals,Kyzylorda,10565.0
2010,Number of individuals,Mangistau,15848.0
2010,Number of individuals,Ontustik Kazakhstan,8500.0
2010,Number of individuals,Pavlodar,1040.0
2010,Number of individuals,Soltustik Kazakhstan,497.0
2010,Number of individuals,Shygys Kazakhstan,25021.0
2010,Number of individuals,Nur-Sultan city,3.0
2010,Number of individuals,Almaty city,16347.0
2011,Number of individuals,,134568.0
2011,Number of individuals,Akmola,1192.0
2011,Number of individuals,Aktobe,2221.0
2011,Number of individuals,Almaty,3475.0
2011,Number of individuals,Atyrau,1720.0
2011,Number of individuals,Batys Kazakhstan,3059.0
2011,Number of individuals,Zhambyl,286.0
2011,Number of individuals,Karagandy,9270.0
2011,Number of individuals,Kostanay,6106.0
2011,Number of individuals,Kyzylorda,12262.0
2011,Number of individuals,Mangistau,16563.0
2011,Number of individuals,Ontustik Kazakhstan,1638.0
2011,Number of individuals,Pavlodar,857.0
2011,Number of individuals,Soltustik Kazakhstan,3381.0
2011,Number of individuals,Shygys Kazakhstan,25250.0
2011,Number of individuals,Nur-Sultan city,6545.0
2011,Number of individuals,Almaty city,40743.0
2012,Number of individuals,,114150.0
2012,Number of individuals,Akmola,786.0
2012,Number of individuals,Aktobe,2229.0
2012,Number of individuals,Almaty,2680.0
2012,Number of individuals,Atyrau,2802.0
2012,Number of individuals,Batys Kazakhstan,2698.0
2012,Number of individuals,Zhambyl,534.0
2012,Number of individuals,Karagandy,7768.0
2012,Number of individuals,Kostanay,5938.0
2012,Number of individuals,Kyzylorda,1262.0
2012,Number of individuals,Mangistau,16012.0
2012,Number of individuals,Ontustik Kazakhstan,874.0
2012,Number of individuals,Pavlodar,826.0
2012,Number of individuals,Soltustik Kazakhstan,3586.0
2012,Number of individuals,Shygys Kazakhstan,16438.0
2012,Number of individuals,Nur-Sultan city,6791.0
2012,Number of individuals,Almaty city,42926.0
2013,Number of individuals,,111466.0
2013,Number of individuals,Akmola,581.0
2013,Number of individuals,Aktobe,2172.0
2013,Number of individuals,Almaty,2287.0
2013,Number of individuals,Atyrau,2818.0
2013,Number of individuals,Batys Kazakhstan,2643.0
2013,Number of individuals,Zhambyl,679.0
2013,Number of individuals,Karagandy,7451.0
2013,Number of individuals,Kostanay,5947.0
2013,Number of individuals,Kyzylorda,1117.0
2013,Number of individuals,Mangistau,15653.0
2013,Number of individuals,Ontustik Kazakhstan,898.0
2013,Number of individuals,Pavlodar,810.0
2013,Number of individuals,Soltustik Kazakhstan,3915.0
2013,Number of individuals,Shygys Kazakhstan,13382.0
2013,Number of individuals,Nur-Sultan city,6918.0
2013,Number of individuals,Almaty city,44195.0
2014,Number of individuals,,120609.0
2014,Number of individuals,Akmola,595.0
2014,Number of individuals,Aktobe,1047.0
2014,Number of individuals,Almaty,1908.0
2014,Number of individuals,Atyrau,2760.0
2014,Number of individuals,Batys Kazakhstan,2580.0
2014,Number of individuals,Zhambyl,3561.0
2014,Number of individuals,Karagandy,7919.0
2014,Number of individuals,Kostanay,5847.0
2014,Number of individuals,Kyzylorda,1195.0
2014,Number of individuals,Mangistau,15743.0
2014,Number of individuals,Ontustik Kazakhstan,521.0
2014,Number of individuals,Pavlodar,802.0
2014,Number of individuals,Soltustik Kazakhstan,3946.0
2014,Number of individuals,Shygys Kazakhstan,13508.0
2014,Number of individuals,Nur-Sultan city,9393.0
2014,Number of individuals,Almaty city,49284.0
2015,Number of individuals,,108673.0
2015,Number of individuals,Akmola,1586.0
2015,Number of individuals,Aktobe,1182.0
2015,Number of individuals,Almaty,1607.0
2015,Number of individuals,Atyrau,3124.0
2015,Number of individuals,Batys Kazakhstan,2414.0
2015,Number of individuals,Zhambyl,3376.0
2015,Number of individuals,Karagandy,7120.0
2015,Number of individuals,Kostanay,6202.0
2015,Number of individuals,Kyzylorda,1338.0
2015,Number of individuals,Mangistau,13938.0
