Year,UNIT_MEASURE,Value
2010,пайыз,36.5
2011,пайыз,51.6
2012,пайыз,40.2
2013,пайыз,29.4
2014,пайыз,36.7
2015,пайыз,40.1
2016,пайыз,43.4
2017,пайыз,41.6
2018,пайыз,42.9
2019,пайыз,41.2
