Year,UNIT_MEASURE,Value
2013,өткен жылға пайызбен,19.6
2014,өткен жылға пайызбен,18.5
2015,өткен жылға пайызбен,14.1
2016,өткен жылға пайызбен,12.9
2017,өткен жылға пайызбен,15.6
2018,өткен жылға пайызбен,15.7
2019,өткен жылға пайызбен,15.2
