Year,UNIT_MEASURE,SERIES,Value
2010,пайыз,жергілікті билік органдарында (Мәслихаттар),17.8
2011,пайыз,жергілікті билік органдарында (Мәслихаттар),17.8
2011,пайыз,ұлттық парламенттерде (Мәжіліс),16.94
2012,пайыз,жергілікті билік органдарында (Мәслихаттар),23.8
2012,пайыз,ұлттық парламенттерде (Мәжіліс),17.0
2013,пайыз,жергілікті билік органдарында (Мәслихаттар),26.2
2013,пайыз,ұлттық парламенттерде (Мәжіліс),18.17
2014,пайыз,жергілікті билік органдарында (Мәслихаттар),26.2
2014,пайыз,ұлттық парламенттерде (Мәжіліс),18.41
2015,пайыз,жергілікті билік органдарында (Мәслихаттар),26.7
2015,пайыз,ұлттық парламенттерде (Мәжіліс),18.8
2016,пайыз,жергілікті билік органдарында (Мәслихаттар),27.6
2016,пайыз,ұлттық парламенттерде (Мәжіліс),22.158920539730133
2017,пайыз,жергілікті билік органдарында (Мәслихаттар),27.4
2017,пайыз,ұлттық парламенттерде (Мәжіліс),22.09895052473763
2018,пайыз,жергілікті билік органдарында (Мәслихаттар),27.4
2018,пайыз,ұлттық парламенттерде (Мәжіліс),22.19
2019,пайыз,жергілікті билік органдарында (Мәслихаттар),27.4
2019,пайыз,ұлттық парламенттерде (Мәжіліс),22.2
