Year,UNIT_MEASURE,SERIES,Өңірлер,GeoCode,Value
2016,млн.тонна,_L_KZ_090102_1J,Нұр-Сұлтан қаласы,,142.6
2018,млн.тонна,_L_KZ_090102_1J,Нұр-Сұлтан қаласы,,153.1
2010,млн.тонна,_L_KZ_090102_1J,Алматы қаласы,,142.4
2011,млн.тонна,_L_KZ_090102_1J,Алматы қаласы,,155.6
2012,млн.тонна,_L_KZ_090102_1J,Алматы қаласы,,168.3
2013,млн.тонна,_L_KZ_090102_1J,Алматы қаласы,,194.4
2014,млн.тонна,_L_KZ_090102_1J,Алматы қаласы,,216.8
2015,млн.тонна,_L_KZ_090102_1J,Алматы қаласы,,232.1
2016,млн.тонна,_L_KZ_090102_1J,Алматы қаласы,,252.2
2017,млн.тонна,_L_KZ_090102_1J,Алматы қаласы,,254.5
2018,млн.тонна,_L_KZ_090102_1J,Алматы қаласы,,255.7
2018,млн.тонна,_L_KZ_090102_1J,Шымкент қаласы,,116.3
2010,тонна,әуе көлікпен тасымалданған жүктер,,,28869.7
2011,тонна,әуе көлікпен тасымалданған жүктер,,,31554.9
2012,тонна,әуе көлікпен тасымалданған жүктер,,,21954.2
2013,тонна,әуе көлікпен тасымалданған жүктер,,,23873.5
2014,тонна,әуе көлікпен тасымалданған жүктер,,,19082.4
2015,тонна,әуе көлікпен тасымалданған жүктер,,,17178.2
2016,тонна,әуе көлікпен тасымалданған жүктер,,,18015.9
2017,тонна,әуе көлікпен тасымалданған жүктер,,,22449.9
2018,тонна,әуе көлікпен тасымалданған жүктер,,,29135.5
2012,тонна,,Батыс Қазақстан,KZ07,183.0
2013,тонна,,Батыс Қазақстан,KZ07,227.2
2014,тонна,,Батыс Қазақстан,KZ07,239.4
2015,тонна,,Батыс Қазақстан,KZ07,131.0
2018,тонна,,Батыс Қазақстан,KZ07,793.0
2010,тонна,,Қарағанды,KZ12,9.2
2011,тонна,,Қарағанды,KZ12,6.6
2010,тонна,,Оңтүстік Қазақстан,KZ10,737.0
2011,тонна,,Оңтүстік Қазақстан,KZ10,583.0
2012,тонна,,Оңтүстік Қазақстан,KZ10,768.0
2010,тонна,,Шығыс Қазақстан,KZ15,32.5
2011,тонна,,Шығыс Қазақстан,KZ15,44.0
2012,тонна,,Шығыс Қазақстан,KZ15,5.8
2013,тонна,,Шығыс Қазақстан,KZ15,1062.0
2014,тонна,,Шығыс Қазақстан,KZ15,978.0
2010,тонна,,Алматы қаласы,KZ02,28091.0
2011,тонна,,Алматы қаласы,KZ02,30921.3
2012,тонна,,Алматы қаласы,KZ02,20997.4
2013,тонна,,Алматы қаласы,KZ02,22584.3
2014,тонна,,Алматы қаласы,KZ02,17865.0
2015,тонна,,Алматы қаласы,KZ02,15956.2
2016,тонна,,Алматы қаласы,KZ02,16810.9
2017,тонна,,Алматы қаласы,KZ02,20345.2
2018,тонна,,Алматы қаласы,KZ02,25651.2
2018,тонна,,Шымкент қаласы,KZ18,2691.3
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,3379.2
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,4131.3
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,4512.0
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,4985.6
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,5434.6
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,5922.8
2016,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,6021.7
2017,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,7363.7
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,7858.5
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,29.3
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,27.8
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,30.0
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,25.5
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,28.5
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,25.2
2016,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,16.2
2017,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,10.6
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,7.6
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,4.7
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,0.8
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,0.4
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,4.3
2016,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,0.1
2017,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,0.16
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,0.01
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Қарағанды,,18.8
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Қарағанды,,12.2
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Қарағанды,,59.7
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,Қарағанды,,10.0
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,Қарағанды,,8.5
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Қарағанды,,8.0
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Батыс Қазақстан,,7.2
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,Батыс Қазақстан,,140.1
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,Батыс Қазақстан,,354.7
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,Батыс Қазақстан,,332.4
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Батыс Қазақстан,,910.1
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Маңғыстау,,23.8
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,668.5
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,900.2
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,1095.8
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,1109.6
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,1254.7
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,1224.7
2016,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,1288.9
2017,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,1931.8
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Павлодар,,4.0
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Павлодар,,0.8
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Шығыс Қазақстан,,16.1
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Шығыс Қазақстан,,17.2
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Шығыс Қазақстан,,5.1
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,14.8
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,24.2
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,5.5
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,1.3
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,1.4
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,5.2
2016,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,34.6
2017,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,33.2
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,31.08
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,2623.1
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,3124.3
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,3308.3
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,3699.1
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,3786.8
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,4324.4
2016,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,3945.5
2017,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,4467.0
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,4694.4
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Шымкент қаласы,,2207.4
2010,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,194.0
2011,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,214.1
2012,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,213.2
2013,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,225.9
2014,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,225.0
2015,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,214.6
2016,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,205.8
2017,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,232.8
2018,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,280.8
2010,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,66.3
2011,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,68.1
2012,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,68.2
2013,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,68.7
2014,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,69.0
2015,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,68.6
2016,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,70.1
2017,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,78.3
2018,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,113.9
2010,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,20.2
2011,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,26.3
2012,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,25.7
2013,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,32.5
2014,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,35.4
2017,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,43.5
2018,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,43.6
2010,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,4.7
2011,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,4.6
2012,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,4.0
2013,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,4.0
2014,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,3.6
2015,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,2.5
2016,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,2.6
2017,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,2.1
2018,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,1.8
2010,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,4.7
2011,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,4.6
2012,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,4.0
2013,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,4.0
2014,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,3.6
2015,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,2.5
2016,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,2.6
2017,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,2.1
2018,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,1.8
