Year,UNIT_MEASURE,Өңірлер,Value
2015,пайыз,,15.0
2016,пайыз,,20.0
2017,пайыз,,25.0
2017,пайыз,Ақмола,23.1
2017,пайыз,Ақтөбе,18.2
2017,пайыз,Алматы,18.9
2017,пайыз,Атырау,34.6
2017,пайыз,Батыс Қазақстан,39.5
2017,пайыз,Жамбыл,24.0
2017,пайыз,Қарағанды,28.8
2017,пайыз,Қостанай,32.5
2017,пайыз,Қызылорда,40.0
2017,пайыз,Маңғыстау,34.6
2017,пайыз,Оңтүстік Қазақстан,11.7
2017,пайыз,Павлодар,10.0
2017,пайыз,Солтүстік Қазақстан,56.0
2017,пайыз,Шығыс Қазақстан,17.9
2017,пайыз,Нұр-Сұлтан қаласы,30.8
2017,пайыз,Алматы қаласы,29.3
2018,пайыз,,30.0
2018,пайыз,Ақмола,23.7
2018,пайыз,Ақтөбе,27.3
2018,пайыз,Алматы,21.6
2018,пайыз,Атырау,37.5
2018,пайыз,Батыс Қазақстан,40.5
2018,пайыз,Жамбыл,30.6
2018,пайыз,Қарағанды,37.1
2018,пайыз,Қостанай,35.9
2018,пайыз,Қызылорда,41.4
2018,пайыз,Маңғыстау,37.0
2018,пайыз,Оңтүстік Қазақстан,17.6
2018,пайыз,Солтүстік Қазақстан,56.0
2018,пайыз,Түркістан,21.2
2018,пайыз,Шығыс Қазақстан,26.4
2018,пайыз,Нұр-Сұлтан қаласы,30.8
2018,пайыз,Алматы қаласы,33.3
2018,пайыз,Шымкент қаласы,20.7
2019,пайыз,,41.1
2019,пайыз,Ақмола,61.8
2019,пайыз,Ақтөбе,44.2
2019,пайыз,Алматы,44.9
2019,пайыз,Атырау,44.0
2019,пайыз,Батыс Қазақстан,61.1
2019,пайыз,Жамбыл,32.6
2019,пайыз,Қарағанды,40.0
2019,пайыз,Қостанай,54.3
2019,пайыз,Қызылорда,50.0
2019,пайыз,Маңғыстау,11.1
2019,пайыз,Павлодар,59.1
2019,пайыз,Солтүстік Қазақстан,52.0
2019,пайыз,Түркістан,24.2
2019,пайыз,Шығыс Қазақстан,53.0
2019,пайыз,Нұр-Сұлтан қаласы,20.5
2019,пайыз,Алматы қаласы,27.8
2019,пайыз,Шымкент қаласы,30.0
