Year,UNIT_MEASURE,Жынысы,Өңірлер,Value
2017,пайыз,,Қостанай,100.0
2017,пайыз,,Қызылорда,100.0
2017,пайыз,,Маңғыстау,100.0
2017,пайыз,,Оңтүстік Қазақстан,100.0
2017,пайыз,,Павлодар,100.0
2017,пайыз,,Солтүстік Қазақстан,96.1
2017,пайыз,,Шығыс Қазақстан,100.0
2017,пайыз,,Нұр-Сұлтан қаласы,89.3
2017,пайыз,,Алматы қаласы,95.4
2017,пайыз,ерлер,Ақмола,100.0
2017,пайыз,әйелдер,Ақмола,100.0
2017,пайыз,ерлер,Ақтөбе,100.0
2017,пайыз,әйелдер,Ақтөбе,100.0
2017,пайыз,ерлер,Алматы,100.0
2017,пайыз,әйелдер,Алматы,100.0
2017,пайыз,ерлер,Атырау,100.0
2017,пайыз,әйелдер,Атырау,100.0
2017,пайыз,ерлер,Батыс Қазақстан,100.0
2017,пайыз,әйелдер,Батыс Қазақстан,100.0
2017,пайыз,ерлер,Жамбыл,100.0
2017,пайыз,әйелдер,Жамбыл,100.0
2017,пайыз,ерлер,Қарағанды,100.0
2017,пайыз,әйелдер,Қарағанды,100.0
2017,пайыз,ерлер,Қостанай,100.0
2017,пайыз,әйелдер,Қостанай,100.0
2017,пайыз,ерлер,Қызылорда,100.0
2017,пайыз,әйелдер,Қызылорда,100.0
2017,пайыз,ерлер,Маңғыстау,100.0
2017,пайыз,әйелдер,Маңғыстау,100.0
2017,пайыз,ерлер,Оңтүстік Қазақстан,100.0
2017,пайыз,әйелдер,Оңтүстік Қазақстан,100.0
2017,пайыз,ерлер,Павлодар,100.0
2017,пайыз,әйелдер,Павлодар,100.0
2017,пайыз,ерлер,Солтүстік Қазақстан,93.96976090014064
2017,пайыз,әйелдер,Солтүстік Қазақстан,98.47939175670268
2017,пайыз,ерлер,Шығыс Қазақстан,100.0
2017,пайыз,әйелдер,Шығыс Қазақстан,100.0
2017,пайыз,ерлер,Нұр-Сұлтан қаласы,88.93717182690567
2017,пайыз,әйелдер,Нұр-Сұлтан қаласы,89.72860538827258
2017,пайыз,ерлер,Алматы қаласы,100.0
2017,пайыз,әйелдер,Алматы қаласы,86.6578415662231
2018,пайыз,,,93.83096929119436
2018,пайыз,ерлер,,91.65236639043032
2018,пайыз,әйелдер,,96.26536706438978
2018,пайыз,,Ақмола,100.0
2018,пайыз,,Ақтөбе,100.0
2018,пайыз,,Алматы,100.0
2018,пайыз,,Атырау,100.0
2018,пайыз,,Батыс Қазақстан,100.0
2018,пайыз,,Жамбыл,91.3
2018,пайыз,,Қарағанды,100.0
2018,пайыз,,Қостанай,100.0
2018,пайыз,,Қызылорда,100.0
2018,пайыз,,Маңғыстау,100.0
2018,пайыз,,Павлодар,100.0
2018,пайыз,,Солтүстік Қазақстан,100.0
2018,пайыз,,Түркістан,90.2
2018,пайыз,,Шығыс Қазақстан,100.0
2018,пайыз,,Нұр-Сұлтан қаласы,66.7
2018,пайыз,,Алматы қаласы,80.2
2018,пайыз,,Шымкент қаласы,89.4
2018,пайыз,ерлер,Ақмола,100.0
2018,пайыз,әйелдер,Ақмола,100.0
2018,пайыз,ерлер,Ақтөбе,100.0
