Year,Жасы,Аймақ,Өңірлер,Value
2010,,ауыл,Қызылорда,18.739144262054456
2010,,ауыл,Маңғыстау,43.61929150661545
2010,,ауыл,Оңтүстік Қазақстан,30.478964038804985
2010,,ауыл,Павлодар,31.16370808678501
2010,,ауыл,Солтүстік Қазақстан,34.86859224564143
2010,,ауыл,Шығыс Қазақстан,28.57756768371293
2011,10 жастан 14 жасқа дейін,,,0.0211100546310622
2011,10 жастан 14 жасқа дейін,,Ақмола,0.0
2011,10 жастан 14 жасқа дейін,,Ақтөбе,0.0781188969611749
2011,10 жастан 14 жасқа дейін,,Алматы,0.0
2011,10 жастан 14 жасқа дейін,,Атырау,0.0482648776485351
2011,10 жастан 14 жасқа дейін,,Батыс Қазақстан,0.0517170045510963
2011,10 жастан 14 жасқа дейін,,Жамбыл,0.0479639311237949
2011,10 жастан 14 жасқа дейін,,Қарағанды,0.0242789161891813
2011,10 жастан 14 жасқа дейін,,Қостанай,0.0
2011,10 жастан 14 жасқа дейін,,Қызылорда,0.0
2011,10 жастан 14 жасқа дейін,,Маңғыстау,0.0
2011,10 жастан 14 жасқа дейін,,Оңтүстік Қазақстан,0.0
2011,10 жастан 14 жасқа дейін,,Павлодар,0.0
2011,10 жастан 14 жасқа дейін,,Солтүстік Қазақстан,0.1171680482732358
2011,10 жастан 14 жасқа дейін,,Шығыс Қазақстан,0.0254023090698944
2011,10 жастан 14 жасқа дейін,,Нұр-Сұлтан қаласы,0.0538227616459
2011,10 жастан 14 жасқа дейін,,Алматы қаласы,0.0283177821513019
2011,10 жастан 14 жасқа дейін,қала,,0.0224340998317442
2011,10 жастан 14 жасқа дейін,қала,Ақмола,0.0
2011,10 жастан 14 жасқа дейін,қала,Ақтөбе,0.0717900857891525
2011,10 жастан 14 жасқа дейін,қала,Алматы,0.0
2011,10 жастан 14 жасқа дейін,қала,Атырау,0.1077934677158564
2011,10 жастан 14 жасқа дейін,қала,Батыс Қазақстан,0.0
2011,10 жастан 14 жасқа дейін,қала,Жамбыл,0.1302592158395206
2011,10 жастан 14 жасқа дейін,қала,Қарағанды,0.0
2011,10 жастан 14 жасқа дейін,қала,Қостанай,0.0
2011,10 жастан 14 жасқа дейін,қала,Қызылорда,0.0
2011,10 жастан 14 жасқа дейін,қала,Маңғыстау,0.0
2011,10 жастан 14 жасқа дейін,қала,Оңтүстік Қазақстан,0.0
2011,10 жастан 14 жасқа дейін,қала,Павлодар,0.0
2011,10 жастан 14 жасқа дейін,қала,Солтүстік Қазақстан,0.0
2011,10 жастан 14 жасқа дейін,қала,Шығыс Қазақстан,0.0
2011,10 жастан 14 жасқа дейін,қала,Нұр-Сұлтан қаласы,0.0538227616459
2011,10 жастан 14 жасқа дейін,қала,Алматы қаласы,0.0283177821513019
2011,10 жастан 14 жасқа дейін,ауыл,,0.019933587929548
2011,10 жастан 14 жасқа дейін,ауыл,Ақмола,0.0
2011,10 жастан 14 жасқа дейін,ауыл,Ақтөбе,0.085671449989291
2011,10 жастан 14 жасқа дейін,ауыл,Алматы,0.0
2011,10 жастан 14 жасқа дейін,ауыл,Атырау,0.0
2011,10 жастан 14 жасқа дейін,ауыл,Батыс Қазақстан,0.0859623484913607
