Year,UNIT_MEASURE,Өңірлер,Аймақ,Жынысы,Value
2010,пайыз,Ақтөбе,қала,,2.3
2010,пайыз,Алматы,қала,,5.8
2010,пайыз,Атырау,қала,,3.4
2010,пайыз,Батыс Қазақстан,қала,,10.7
2010,пайыз,Жамбыл,қала,,8.2
2010,пайыз,Қарағанды,қала,,7.4
2010,пайыз,Қостанай,қала,,3.8
2010,пайыз,Қызылорда,қала,,9.1
2010,пайыз,Маңғыстау,қала,,8.3
2010,пайыз,Оңтүстік Қазақстан,қала,,4.9
2010,пайыз,Павлодар,қала,,4.1
2010,пайыз,Солтүстік Қазақстан,қала,,3.7
2010,пайыз,Шығыс Қазақстан,қала,,6.3
2010,пайыз,Нұр-Сұлтан қаласы,қала,,7.8
2010,пайыз,Алматы қаласы,қала,,3.8
2010,пайыз,,ауыл,,3.0
2010,пайыз,Ақмола,ауыл,,3.7
2010,пайыз,Ақтөбе,ауыл,,0.3
2010,пайыз,Алматы,ауыл,,3.2
2010,пайыз,Атырау,ауыл,,1.9
2010,пайыз,Батыс Қазақстан,ауыл,,3.7
2010,пайыз,Жамбыл,ауыл,,4.8
2010,пайыз,Қарағанды,ауыл,,2.8
2010,пайыз,Қостанай,ауыл,,2.6
2010,пайыз,Қызылорда,ауыл,,3.2
2010,пайыз,Маңғыстау,ауыл,,3.9
2010,пайыз,Оңтүстік Қазақстан,ауыл,,1.9
2010,пайыз,Павлодар,ауыл,,1.1
2010,пайыз,Солтүстік Қазақстан,ауыл,,2.7
2010,пайыз,Түркістан,ауыл,,6.8
2011,пайыз,,,,5.1
2011,пайыз,Ақмола,,,5.2
2011,пайыз,Ақтөбе,,,1.2
2011,пайыз,Алматы,,,6.0
2011,пайыз,Атырау,,,2.3
2011,пайыз,Батыс Қазақстан,,,5.6
2011,пайыз,Жамбыл,,,7.3
2011,пайыз,Қарағанды,,,6.2
2011,пайыз,Қостанай,,,4.3
2011,пайыз,Қызылорда,,,6.6
2011,пайыз,Маңғыстау,,,7.7
2011,пайыз,Оңтүстік Қазақстан,,,3.8
2011,пайыз,Павлодар,,,3.6
2011,пайыз,Солтүстік Қазақстан,,,5.4
2011,пайыз,Шығыс Қазақстан,,,8.5
2011,пайыз,Нұр-Сұлтан қаласы,,,6.6
2011,пайыз,Алматы қаласы,,,2.8
2011,пайыз,,,ерлер,5.4
2011,пайыз,Ақмола,,ерлер,4.3
2011,пайыз,Ақтөбе,,ерлер,3.5
2011,пайыз,Алматы,,ерлер,6.5
2011,пайыз,Атырау,,ерлер,1.9
2011,пайыз,Батыс Қазақстан,,ерлер,3.4
2011,пайыз,Жамбыл,,ерлер,6.5
2011,пайыз,Қарағанды,,ерлер,5.6
2011,пайыз,Қостанай,,ерлер,4.5
2011,пайыз,Қызылорда,,ерлер,9.8
2011,пайыз,Маңғыстау,,ерлер,14.1
2011,пайыз,Оңтүстік Қазақстан,,ерлер,5.5
2011,пайыз,Павлодар,,ерлер,3.1
2011,пайыз,Солтүстік Қазақстан,,ерлер,4.7
2011,пайыз,Шығыс Қазақстан,,ерлер,5.6
2011,пайыз,Нұр-Сұлтан қаласы,,ерлер,5.2
2011,пайыз,Алматы қаласы,,ерлер,2.9
2011,пайыз,,,әйелдер,9.4
2011,пайыз,Ақмола,,әйелдер,6.1
2011,пайыз,Ақтөбе,,әйелдер,9.0
2011,пайыз,Алматы,,әйелдер,11.7
2011,пайыз,Атырау,,әйелдер,6.3
2011,пайыз,Батыс Қазақстан,,әйелдер,4.3
2011,пайыз,Жамбыл,,әйелдер,12.7
2011,пайыз,Қарағанды,,әйелдер,14.7
2011,пайыз,Қостанай,,әйелдер,5.3
2011,пайыз,Қызылорда,,әйелдер,15.6
2011,пайыз,Маңғыстау,,әйелдер,13.4
2011,пайыз,Оңтүстік Қазақстан,,әйелдер,8.3
2011,пайыз,Павлодар,,әйелдер,5.8
2011,пайыз,Солтүстік Қазақстан,,әйелдер,8.8
2011,пайыз,Шығыс Қазақстан,,әйелдер,10.4
2011,пайыз,Нұр-Сұлтан қаласы,,әйелдер,7.8
2011,пайыз,Алматы қаласы,,әйелдер,6.7
2011,пайыз,,қала,,6.8
2011,пайыз,Ақмола,қала,,5.0
2011,пайыз,Ақтөбе,қала,,7.4
2011,пайыз,Алматы,қала,,10.7
2011,пайыз,Атырау,қала,,3.8
2011,пайыз,Батыс Қазақстан,қала,,2.2
2011,пайыз,Жамбыл,қала,,7.1
2011,пайыз,Қарағанды,қала,,10.2
2011,пайыз,Қостанай,қала,,5.3
2011,пайыз,Қызылорда,қала,,13.6
2011,пайыз,Маңғыстау,қала,,10.0
2011,пайыз,Оңтүстік Қазақстан,қала,,5.6
2011,пайыз,Павлодар,қала,,5.2
2011,пайыз,Солтүстік Қазақстан,қала,,7.8
2011,пайыз,Шығыс Қазақстан,қала,,7.4
2011,пайыз,Нұр-Сұлтан қаласы,қала,,6.6
2011,пайыз,Алматы қаласы,қала,,4.9
2011,пайыз,,ауыл,,8.1
2011,пайыз,Ақмола,ауыл,,5.1
2011,пайыз,Ақтөбе,ауыл,,4.9
2011,пайыз,Алматы,ауыл,,8.6
2011,пайыз,Атырау,ауыл,,4.3
2011,пайыз,Батыс Қазақстан,ауыл,,5.3
2011,пайыз,Жамбыл,ауыл,,10.6
2011,пайыз,Қарағанды,ауыл,,10.3
2011,пайыз,Қостанай,ауыл,,4.7
2011,пайыз,Қызылорда,ауыл,,12.0
2011,пайыз,Маңғыстау,ауыл,,16.9
2011,пайыз,Оңтүстік Қазақстан,ауыл,,8.0
2011,пайыз,Павлодар,ауыл,,2.6
2011,пайыз,Солтүстік Қазақстан,ауыл,,6.1
2011,пайыз,Түркістан,ауыл,,8.6
2012,пайыз,,,,5.9
2012,пайыз,Ақмола,,,5.4
2012,пайыз,Ақтөбе,,,1.2
2012,пайыз,Алматы,,,9.0
2012,пайыз,Атырау,,,4.0
2012,пайыз,Батыс Қазақстан,,,3.9
2012,пайыз,Жамбыл,,,7.4
2012,пайыз,Қарағанды,,,8.0
