Year,UNIT_MEASURE,SERIES,Өңірлер,Value
2012,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Жамбыл,95464710.0
2013,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Жамбыл,78401842.0
2014,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Жамбыл,60182873.0
2015,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Жамбыл,44412511.0
2016,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Жамбыл,38833944.0
2017,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Жамбыл,55898656.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Жамбыл,53386348.0
2010,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қарағанды,31935235.0
2011,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қарағанды,40235371.0
2012,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қарағанды,43689805.0
2013,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қарағанды,37544047.0
2014,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қарағанды,43097480.0
2015,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қарағанды,27945946.0
2016,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қарағанды,29440970.0
2017,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қарағанды,60137730.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қарағанды,55182051.0
2010,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қостанай,27434840.0
2011,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қостанай,31028357.0
2012,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қостанай,31892577.0
2013,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қостанай,26932561.0
2014,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қостанай,42374195.0
2015,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қостанай,21356643.0
2016,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қостанай,26585820.0
2017,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қостанай,43954677.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қостанай,60336066.0
2010,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қызылорда,75611438.0
2011,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қызылорда,82569194.0
2012,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қызылорда,69467737.0
2013,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қызылорда,90719888.0
2014,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қызылорда,75732198.0
2015,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қызылорда,54808099.0
2016,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қызылорда,67675868.0
2017,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қызылорда,51305208.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Қызылорда,61633742.0
2010,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,48847386.0
2011,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,51987752.0
2012,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,40640607.0
2013,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,38402558.0
2014,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,55844915.0
2015,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,41359678.0
2016,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,54275915.0
2017,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,41437482.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,42134139.0
2010,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,92816216.0
2011,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,109495938.0
2012,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,148881823.0
2013,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,134510633.0
2014,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,162519894.0
2015,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,129976342.0
2016,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,159055103.0
2017,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,157618965.0
2010,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Павлодар,25621279.0
2011,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Павлодар,22731933.0
2012,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Павлодар,30319036.0
2013,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Павлодар,27121531.0
2014,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Павлодар,32302416.0
2015,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Павлодар,24815611.0
2016,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Павлодар,21074158.0
2017,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Павлодар,51585022.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Павлодар,74806910.0
2010,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,17462545.0
2011,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,18788111.0
2012,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,28019290.0
2013,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,22593248.0
2014,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,20881816.0
2015,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,27155173.0
2016,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,27478383.0
2017,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,34299716.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,47506208.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Түркістан,104060972.0
2010,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Шығыс Қазақстан,40946358.0
2011,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Шығыс Қазақстан,69019293.0
2012,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Шығыс Қазақстан,76237365.0
2013,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Шығыс Қазақстан,65491567.0
2014,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Шығыс Қазақстан,53073232.0
2015,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Шығыс Қазақстан,41241417.0
2016,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Шығыс Қазақстан,52059145.0
2017,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Шығыс Қазақстан,88904888.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Шығыс Қазақстан,93736234.0
2010,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Нұр-Сұлтан қаласы,205944085.0
2011,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Нұр-Сұлтан қаласы,192182529.0
2012,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Нұр-Сұлтан қаласы,193395093.0
2013,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Нұр-Сұлтан қаласы,212481905.0
2014,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Нұр-Сұлтан қаласы,236923971.0
2015,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Нұр-Сұлтан қаласы,219770225.0
2016,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Нұр-Сұлтан қаласы,198683876.0
2017,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Нұр-Сұлтан қаласы,220265254.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Нұр-Сұлтан қаласы,196351896.0
2010,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Алматы қаласы,133407670.0
2011,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Алматы қаласы,127619205.0
2012,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Алматы қаласы,128712886.0
2013,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Алматы қаласы,99830961.0
2014,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Алматы қаласы,152784102.0
2015,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Алматы қаласы,185766868.0
2016,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Алматы қаласы,130791479.0
2017,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Алматы қаласы,132603878.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Алматы қаласы,148406671.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Шымкент қаласы,47161732.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,,2239305596.0
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,,2640408294.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,,3162532809.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,,3957235239.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,,4202318716.0
2015,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,,4542902222.0
2016,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,,5022388674.0
2017,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,,6212525241.0
2018,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,,8270308594.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақмола,53701346.0
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақмола,57521256.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақмола,76923896.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақмола,89235091.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақмола,133929294.0
2015,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақмола,154754041.0
2016,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақмола,179188618.0
2017,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақмола,171193713.0
2018,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақмола,206553712.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақтөбе,248742874.0
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақтөбе,254536558.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақтөбе,292704669.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақтөбе,426694718.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақтөбе,407375114.0
2015,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақтөбе,275098829.0
2016,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақтөбе,313672630.0
2017,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақтөбе,337384643.0
2018,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Ақтөбе,389155733.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Алматы,202961052.0
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Алматы,306036230.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Алматы,278548419.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Алматы,319843453.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Алматы,309317088.0
2015,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Алматы,358513610.0
2016,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Алматы,340194879.0
2017,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Алматы,340412056.0
2018,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Алматы,381146508.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Атырау,200774488.0
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Атырау,253501423.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Атырау,476676778.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Атырау,601055653.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Атырау,833570163.0
2015,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Атырау,1028509285.0
2016,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Атырау,1452732822.0
2017,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Атырау,2276455829.0
2018,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Атырау,3417445712.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Батыс Қазақстан,62521146.0
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Батыс Қазақстан,51552814.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Батыс Қазақстан,73187501.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Батыс Қазақстан,79942349.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Батыс Қазақстан,97520629.0
2015,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Батыс Қазақстан,155057641.0
2016,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Батыс Қазақстан,79802640.0
2017,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Батыс Қазақстан,79412664.0
2018,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Батыс Қазақстан,117096705.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Жамбыл,101455224.0
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Жамбыл,46563964.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Жамбыл,43299347.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Жамбыл,161051801.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Жамбыл,132040337.0
2015,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Жамбыл,134758577.0
2016,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Жамбыл,140214230.0
2017,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Жамбыл,151302800.0
2018,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Жамбыл,184089384.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қарағанды,113466553.0
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қарағанды,123923223.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қарағанды,172792742.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қарағанды,264522600.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қарағанды,256500473.0
