Year,UNIT_MEASURE,Аймақ,Өңірлер,Value
2012,пайыз,ауыл,Түркістан,1.289819406312084
2012,пайыз,ауыл,Павлодар,1.1429827453566326
2012,пайыз,ауыл,Солтүстік Қазақстан,0.62340367685633
2012,пайыз,ауыл,Шығыс Қазақстан,1.1612333195425188
2013,пайыз,,,3.685402162446737
2013,пайыз,,Ақмола,4.932856776352089
2013,пайыз,,Ақтөбе,5.940240052837447
2013,пайыз,,Алматы,6.181900564672289
2013,пайыз,,Атырау,1.6330128330503857
2013,пайыз,,Батыс Қазақстан,6.180782882442212
2013,пайыз,,Жамбыл,1.6275990645223826
2013,пайыз,,Қарағанды,4.306760447256608
2013,пайыз,,Қостанай,12.088929175005257
2013,пайыз,,Қызылорда,0.198342782749242
2013,пайыз,,Маңғыстау,0.0269422168689974
2013,пайыз,,Түркістан,0.8652873366676641
2013,пайыз,,Павлодар,5.941565220769257
2013,пайыз,,Солтүстік Қазақстан,5.606523955147808
2013,пайыз,,Шығыс Қазақстан,4.753230599617664
2013,пайыз,қала,,4.445585222468425
2013,пайыз,қала,Ақмола,8.446452291147242
2013,пайыз,қала,Ақтөбе,8.688692681604673
2013,пайыз,қала,Алматы,5.520671796822425
2013,пайыз,қала,Атырау,1.7920040194482678
2013,пайыз,қала,Батыс Қазақстан,10.132132534728656
2013,пайыз,қала,Жамбыл,1.7937701396348014
2013,пайыз,қала,Қарағанды,4.614037624843473
2013,пайыз,қала,Қостанай,17.305227318245546
2013,пайыз,қала,Қызылорда,0.1995250741193497
2013,пайыз,қала,Маңғыстау,0.0
2013,пайыз,қала,Түркістан,0.2333424840189811
2013,пайыз,қала,Павлодар,7.76534077318078
2013,пайыз,қала,Солтүстік Қазақстан,11.525011826470887
2013,пайыз,қала,Шығыс Қазақстан,6.943106473019434
2013,пайыз,ауыл,,2.589585617738482
2013,пайыз,ауыл,Ақмола,1.4920701168614356
2013,пайыз,ауыл,Ақтөбе,0.8946928659275046
2013,пайыз,ауыл,Алматы,6.394720287491194
2013,пайыз,ауыл,Атырау,1.4751133103247538
2013,пайыз,ауыл,Батыс Қазақстан,1.722596173096002
2013,пайыз,ауыл,Жамбыл,1.499553298652106
2013,пайыз,ауыл,Қарағанды,2.9817267717296723
2013,пайыз,ауыл,Қостанай,5.833718605335367
2013,пайыз,ауыл,Қызылорда,0.1973734736195376
2013,пайыз,ауыл,Маңғыстау,0.0578473963000351
2013,пайыз,ауыл,Түркістан,1.3302773094347866
2013,пайыз,ауыл,Павлодар,1.1566253753753757
2013,пайыз,ауыл,Солтүстік Қазақстан,0.645351911174696
2013,пайыз,ауыл,Шығыс Қазақстан,1.0970818377771594
2014,пайыз,,,3.433270472821785
2014,пайыз,,Ақмола,4.923791368458343
2014,пайыз,,Ақтөбе,5.874888869605367
2014,пайыз,,Алматы,6.3766849427446815
2014,пайыз,,Атырау,1.6079952956764905
2014,пайыз,,Батыс Қазақстан,6.160982797714675
2014,пайыз,,Жамбыл,1.4958423778292935
2014,пайыз,,Қарағанды,4.144392914881816
2014,пайыз,,Қостанай,12.0955669438465
2014,пайыз,,Қызылорда,0.1952200171129036
2014,пайыз,,Маңғыстау,0.013912111523608
2014,пайыз,,Түркістан,1.1634771874030996
2014,пайыз,,Павлодар,0.226485909340926
2014,пайыз,,Солтүстік Қазақстан,5.65215073823357
2014,пайыз,,Шығыс Қазақстан,5.069475579435725
2014,пайыз,қала,,3.872201601900956
2014,пайыз,қала,Ақмола,8.444712733470634
2014,пайыз,қала,Ақтөбе,8.60534199776636
2014,пайыз,қала,Алматы,5.451794961307965
2014,пайыз,қала,Атырау,1.789260257937752
2014,пайыз,қала,Батыс Қазақстан,10.069418614211829
2014,пайыз,қала,Жамбыл,1.127731224058266
