Year,UNIT_MEASURE,Жынысы,Аймақ,Өңірлер,Value
2010,1000 туылғанға,ерлер,қала,Павлодар,15.25
2010,1000 туылғанға,ерлер,қала,Солтүстік Қазақстан,15.32
2010,1000 туылғанға,ерлер,қала,Шығыс Қазақстан,22.69
2010,1000 туылғанға,ерлер,қала,Нұр-Сұлтан қаласы,14.49
2010,1000 туылғанға,ерлер,қала,Алматы қаласы,21.74
2010,1000 туылғанға,ерлер,ауыл,,22.2
2010,1000 туылғанға,ерлер,ауыл,Ақмола,20.22
2010,1000 туылғанға,ерлер,ауыл,Ақтөбе,22.28
2010,1000 туылғанға,ерлер,ауыл,Алматы,15.91
2010,1000 туылғанға,ерлер,ауыл,Атырау,24.27
2010,1000 туылғанға,ерлер,ауыл,Батыс Қазақстан,24.47
2010,1000 туылғанға,ерлер,ауыл,Жамбыл,23.51
2010,1000 туылғанға,ерлер,ауыл,Қарағанды,16.06
2010,1000 туылғанға,ерлер,ауыл,Қостанай,23.58
2010,1000 туылғанға,ерлер,ауыл,Қызылорда,27.69
2010,1000 туылғанға,ерлер,ауыл,Маңғыстау,21.37
2010,1000 туылғанға,ерлер,ауыл,Оңтүстік Қазақстан,24.66
2010,1000 туылғанға,ерлер,ауыл,Павлодар,19.8
2010,1000 туылғанға,ерлер,ауыл,Солтүстік Қазақстан,19.08
2010,1000 туылғанға,ерлер,ауыл,Шығыс Қазақстан,27.1
2010,1000 туылғанға,әйелдер,,,17.21
2010,1000 туылғанға,әйелдер,,Ақмола,13.86
2010,1000 туылғанға,әйелдер,,Ақтөбе,16.45
2010,1000 туылғанға,әйелдер,,Алматы,14.6
2010,1000 туылғанға,әйелдер,,Атырау,18.84
2010,1000 туылғанға,әйелдер,,Батыс Қазақстан,16.38
2010,1000 туылғанға,әйелдер,,Жамбыл,17.54
2010,1000 туылғанға,әйелдер,,Қарағанды,14.99
2010,1000 туылғанға,әйелдер,,Қостанай,13.15
2010,1000 туылғанға,әйелдер,,Қызылорда,24.78
2010,1000 туылғанға,әйелдер,,Маңғыстау,21.69
2010,1000 туылғанға,әйелдер,,Оңтүстік Қазақстан,19.69
2010,1000 туылғанға,әйелдер,,Павлодар,13.24
2010,1000 туылғанға,әйелдер,,Солтүстік Қазақстан,15.26
2010,1000 туылғанға,әйелдер,,Шығыс Қазақстан,19.77
2010,1000 туылғанға,әйелдер,,Нұр-Сұлтан қаласы,10.75
2010,1000 туылғанға,әйелдер,,Алматы қаласы,15.71
2010,1000 туылғанға,әйелдер,қала,,16.68
2010,1000 туылғанға,әйелдер,қала,Ақмола,13.37
2010,1000 туылғанға,әйелдер,қала,Ақтөбе,15.82
2010,1000 туылғанға,әйелдер,қала,Алматы,15.12
2010,1000 туылғанға,әйелдер,қала,Атырау,18.0
2010,1000 туылғанға,әйелдер,қала,Батыс Қазақстан,18.14
2010,1000 туылғанға,әйелдер,қала,Жамбыл,20.27
2010,1000 туылғанға,әйелдер,қала,Қарағанды,13.54
2010,1000 туылғанға,әйелдер,қала,Қостанай,14.04
2010,1000 туылғанға,әйелдер,қала,Қызылорда,21.82
2010,1000 туылғанға,әйелдер,қала,Маңғыстау,22.24
2010,1000 туылғанға,әйелдер,қала,Оңтүстік Қазақстан,20.31
2010,1000 туылғанға,әйелдер,қала,Павлодар,13.07
2010,1000 туылғанға,әйелдер,қала,Солтүстік Қазақстан,13.06
2010,1000 туылғанға,әйелдер,қала,Шығыс Қазақстан,19.86
2010,1000 туылғанға,әйелдер,қала,Нұр-Сұлтан қаласы,10.75
2010,1000 туылғанға,әйелдер,қала,Алматы қаласы,15.71
2010,1000 туылғанға,әйелдер,ауыл,,17.8
2010,1000 туылғанға,әйелдер,ауыл,Ақмола,14.41
2010,1000 туылғанға,әйелдер,ауыл,Ақтөбе,17.46
2010,1000 туылғанға,әйелдер,ауыл,Алматы,14.42
2010,1000 туылғанға,әйелдер,ауыл,Атырау,19.76
2010,1000 туылғанға,әйелдер,ауыл,Батыс Қазақстан,14.29
2010,1000 туылғанға,әйелдер,ауыл,Жамбыл,15.92
2010,1000 туылғанға,әйелдер,ауыл,Қарағанды,20.11
2010,1000 туылғанға,әйелдер,ауыл,Қостанай,12.22
2010,1000 туылғанға,әйелдер,ауыл,Қызылорда,27.2
2010,1000 туылғанға,әйелдер,ауыл,Маңғыстау,21.16
2010,1000 туылғанға,әйелдер,ауыл,Оңтүстік Қазақстан,19.31
2010,1000 туылғанға,әйелдер,ауыл,Павлодар,13.59
2010,1000 туылғанға,әйелдер,ауыл,Солтүстік Қазақстан,16.93
2010,1000 туылғанға,әйелдер,ауыл,Шығыс Қазақстан,19.66
2011,1000 туылғанға,ұлдар және қыздар,,,17.99
2011,1000 туылғанға,ұлдар және қыздар,,Ақмола,18.3
2011,1000 туылғанға,ұлдар және қыздар,,Ақтөбе,14.22
2011,1000 туылғанға,ұлдар және қыздар,,Алматы,15.08
2011,1000 туылғанға,ұлдар және қыздар,,Атырау,19.33
2011,1000 туылғанға,ұлдар және қыздар,,Батыс Қазақстан,14.54
2011,1000 туылғанға,ұлдар және қыздар,,Жамбыл,18.9
2011,1000 туылғанға,ұлдар және қыздар,,Қарағанды,13.5
2011,1000 туылғанға,ұлдар және қыздар,,Қостанай,16.24
2011,1000 туылғанға,ұлдар және қыздар,,Қызылорда,23.61
2011,1000 туылғанға,ұлдар және қыздар,,Маңғыстау,20.22
2011,1000 туылғанға,ұлдар және қыздар,,Оңтүстік Қазақстан,20.66
2011,1000 туылғанға,ұлдар және қыздар,,Павлодар,15.49
2011,1000 туылғанға,ұлдар және қыздар,,Солтүстік Қазақстан,15.0
2011,1000 туылғанға,ұлдар және қыздар,,Шығыс Қазақстан,21.28
2011,1000 туылғанға,ұлдар және қыздар,,Нұр-Сұлтан қаласы,12.82
2011,1000 туылғанға,ұлдар және қыздар,,Алматы қаласы,19.45
2011,1000 туылғанға,ұлдар және қыздар,қала,,17.88
2011,1000 туылғанға,ұлдар және қыздар,қала,Ақмола,20.27
2011,1000 туылғанға,ұлдар және қыздар,қала,Ақтөбе,12.98
2011,1000 туылғанға,ұлдар және қыздар,қала,Алматы,15.98
2011,1000 туылғанға,ұлдар және қыздар,қала,Атырау,17.69
2011,1000 туылғанға,ұлдар және қыздар,қала,Батыс Қазақстан,12.58
2011,1000 туылғанға,ұлдар және қыздар,қала,Жамбыл,20.66
2011,1000 туылғанға,ұлдар және қыздар,қала,Қарағанды,12.52
2011,1000 туылғанға,ұлдар және қыздар,қала,Қостанай,14.76
2011,1000 туылғанға,ұлдар және қыздар,қала,Қызылорда,21.54
2011,1000 туылғанға,ұлдар және қыздар,қала,Маңғыстау,19.97
2011,1000 туылғанға,ұлдар және қыздар,қала,Оңтүстік Қазақстан,24.63
2011,1000 туылғанға,ұлдар және қыздар,қала,Павлодар,14.1
2011,1000 туылғанға,ұлдар және қыздар,қала,Солтүстік Қазақстан,14.19
2011,1000 туылғанға,ұлдар және қыздар,қала,Шығыс Қазақстан,19.94
2011,1000 туылғанға,ұлдар және қыздар,қала,Нұр-Сұлтан қаласы,12.82
