Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,пайыз,,27.2
2010,пайыз,Корпорациялық табыс салығы,12.3
2010,пайыз,Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер,14.9
2011,пайыз,,38.4
2011,пайыз,Корпорациялық табыс салығы,13.6
2011,пайыз,Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер,24.8
2012,пайыз,,36.8
2012,пайыз,Корпорациялық табыс салығы,12.8
2012,пайыз,Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер,24.0
2013,пайыз,,34.6
2013,пайыз,Корпорациялық табыс салығы,12.6
2013,пайыз,Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер,22.0
2014,пайыз,,32.0
2014,пайыз,Корпорациялық табыс салығы,12.1
2014,пайыз,Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер,19.9
2015,пайыз,,12.9
2015,пайыз,Корпорациялық табыс салығы,4.5
2015,пайыз,Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер,8.4
2016,пайыз,,14.1
2016,пайыз,Корпорациялық табыс салығы,5.5
2016,пайыз,Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер,8.6
2017,пайыз,,18.5
2017,пайыз,Корпорациялық табыс салығы,7.2
2017,пайыз,Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер,11.3
2018,пайыз,,24.1
2018,пайыз,Корпорациялық табыс салығы,10.4
2018,пайыз,Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер,13.8
2019,пайыз,,22.59925591060644
2019,пайыз,Корпорациялық табыс салығы,9.902183848196126
2019,пайыз,Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер,12.69707206161378
