Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,пайыз,,109.56411103244758
2010,пайыз,Жалпы сипаттағы мемлекеттiк қызметтер,109.14965550200871
2010,пайыз,Қорғаныс,107.66270845912074
2010,пайыз,_L_BUD_EXP_PSLJ_CEA,107.4100168620412
2010,пайыз,Білім беру,121.36459780263418
2010,пайыз,Денсаулық сақтау,103.48691447927096
2010,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,90.667493063471
2010,пайыз,Тұрғын үй-коммуналдық шаруашылық,139.23337153447807
2010,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",180.0928776818431
2010,пайыз,Отын-энергетика кешенi және жер қойнауын пайдалану,111.96780454237404
2010,пайыз,"Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары",118.70395526157972
2010,пайыз,_L_IND_BUILD,94.5508959413938
2010,пайыз,Көлiк және коммуникация,118.21332360945348
2010,пайыз,Басқалар,201.5462431242597
2010,пайыз,Борышқа қызмет көрсету,78.16694076545454
2010,пайыз,Трансферттер,100.0
2011,пайыз,,110.41075688312824
2011,пайыз,Жалпы сипаттағы мемлекеттiк қызметтер,126.72191273348092
2011,пайыз,Қорғаныс,106.0378060490676
2011,пайыз,_L_BUD_EXP_PSLJ_CEA,101.74812578055892
2011,пайыз,Білім беру,115.33406068276096
2011,пайыз,Денсаулық сақтау,99.15573129029208
2011,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,100.31793171062182
2011,пайыз,Тұрғын үй-коммуналдық шаруашылық,164.73440575859877
2011,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",157.55274872170807
2011,пайыз,Отын-энергетика кешенi және жер қойнауын пайдалану,129.27669897143582
2011,пайыз,"Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары",119.30751267681528
2011,пайыз,_L_IND_BUILD,94.68650585534716
2011,пайыз,Көлiк және коммуникация,105.79830038464532
2011,пайыз,Басқалар,164.21777306981426
2011,пайыз,Борышқа қызмет көрсету,91.7658194989178
2011,пайыз,Трансферттер,100.0
2012,пайыз,,105.19417128627536
2012,пайыз,Жалпы сипаттағы мемлекеттiк қызметтер,106.6964756010176
2012,пайыз,Қорғаныс,102.15904712501438
2012,пайыз,_L_BUD_EXP_PSLJ_CEA,104.05494122077872
2012,пайыз,Білім беру,97.74058476617924
2012,пайыз,Денсаулық сақтау,106.18830880280484
2012,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,95.5959527548458
2012,пайыз,Тұрғын үй-коммуналдық шаруашылық,129.633311165934
2012,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",102.23244610591074
2012,пайыз,Отын-энергетика кешенi және жер қойнауын пайдалану,110.30472044892356
2012,пайыз,"Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары",95.35995804132122
2012,пайыз,_L_IND_BUILD,101.764733260948
2012,пайыз,Көлiк және коммуникация,96.77354277080964
2012,пайыз,Басқалар,234.28456065333452
2012,пайыз,Борышқа қызмет көрсету,73.5689202408592
2012,пайыз,Трансферттер,100.0
2013,пайыз,,96.30522151258786
2013,пайыз,Жалпы сипаттағы мемлекеттiк қызметтер,99.91423425219992
2013,пайыз,Қорғаныс,99.87561912952826
2013,пайыз,_L_BUD_EXP_PSLJ_CEA,96.24809842731251
2013,пайыз,Білім беру,96.52445852722816
2013,пайыз,Денсаулық сақтау,96.92663065840196
2013,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,95.82849787508364
2013,пайыз,Тұрғын үй-коммуналдық шаруашылық,133.50544602852744
2013,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",106.68859926057884
