Year,UNIT_MEASURE,SERIES,Өңірлер,Value
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,,2439.3905
2010,млн.тонна,Құбыр жүргізетін көлікпен,,194.0
2010,млн.тонна,Темір жол көлігі,,267.9
2010,млн.тонна,Автокөлік,,1971.8
2010,млн.тонна,Әуе көлігімен,,0.289
2010,млн.тонна,Ішкі су көлігімен,,1.1199
2010,млн.тонна,Теңіз көлігімен,,4.655
2010,млн.тонна,,Ақмола,95.8478
2010,млн.тонна,,Ақтөбе,40.9726
2010,млн.тонна,,Алматы,116.6198
2010,млн.тонна,,Атырау,118.4847
2010,млн.тонна,,Батыс Қазақстан,30.2667
2010,млн.тонна,,Жамбыл,55.9545
2010,млн.тонна,,Қарағанды,443.9648
2010,млн.тонна,,Қостанай,221.5098
2010,млн.тонна,,Қызылорда,66.32430000000001
2010,млн.тонна,,Маңғыстау,141.5499
2010,млн.тонна,,Оңтүстік Қазақстан,77.4695
2010,млн.тонна,,Павлодар,78.54469999999999
2010,млн.тонна,,Солтүстік Қазақстан,40.0789
2010,млн.тонна,,Шығыс Қазақстан,327.3275
2010,млн.тонна,,Нұр-Сұлтан қаласы,66.7086
2010,млн.тонна,,Алматы қаласы,142.44289999999998
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,13186.4941
2010,млн.адам,Темір жол көлігімен,,19.6
2010,млн.адам,Автокөлік,,13083.9
2010,млн.адам,Ішкі су көлігімен,,0.1
2010,млн.адам,Әуе көлігімен,,3.4
2010,млн.адам,Қалалық электр көлігі,,79.53
2010,млн.адам,,Ақмола,1057.8989
2010,млн.адам,,Ақтөбе,163.5094
2010,млн.адам,,Алматы,436.6198
2010,млн.адам,,Атырау,95.3865
2010,млн.адам,,Батыс Қазақстан,270.428
2010,млн.адам,,Жамбыл,570.5845
2010,млн.адам,,Қарағанды,1440.6618999999998
2010,млн.адам,,Қостанай,1153.3571000000002
2010,млн.адам,,Қызылорда,139.7043
2010,млн.адам,,Маңғыстау,60.2485
2010,млн.адам,,Оңтүстік Қазақстан,1337.6321
2010,млн.адам,,Павлодар,798.2521999999999
2010,млн.адам,,Солтүстік Қазақстан,365.4984
2010,млн.адам,,Шығыс Қазақстан,1272.7242
2010,млн.адам,,Нұр-Сұлтан қаласы,1408.8999
2010,млн.адам,,Алматы қаласы,2595.527
2010,млн.тонна,_L_KZ_090102_1J,,1971.77081
2010,млн.тонна,_L_KZ_090102_1J,Ақмола,95.84779
2010,млн.тонна,_L_KZ_090102_1J,Ақтөбе,40.97257
2010,млн.тонна,_L_KZ_090102_1J,Алматы,116.61975
2010,млн.тонна,_L_KZ_090102_1J,Атырау,52.14737
2010,млн.тонна,_L_KZ_090102_1J,Батыс Қазақстан,30.02608
2010,млн.тонна,_L_KZ_090102_1J,Жамбыл,55.95452
2010,млн.тонна,_L_KZ_090102_1J,Қарағанды,443.96474
2010,млн.тонна,_L_KZ_090102_1J,Қостанай,221.50981
2010,млн.тонна,_L_KZ_090102_1J,Қызылорда,66.32433999999999
2010,млн.тонна,_L_KZ_090102_1J,Маңғыстау,136.89491
2010,млн.тонна,_L_KZ_090102_1J,Оңтүстік Қазақстан,77.46877
2010,млн.тонна,_L_KZ_090102_1J,Павлодар,57.84632
2010,млн.тонна,_L_KZ_090102_1J,Солтүстік Қазақстан,39.99885
2010,млн.тонна,_L_KZ_090102_1J,Шығыс Қазақстан,327.07152
2010,млн.тонна,_L_KZ_090102_1J,Нұр-Сұлтан қаласы,66.7086
2010,млн.тонна,_L_KZ_090102_1J,Алматы қаласы,142.41484
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,13163.44535
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,1057.89889
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,163.50942
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,436.59054
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,95.38183
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,270.39652
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,570.58449
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,1440.6431
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қостанай,1153.35712
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,139.70432
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,60.24853
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,1336.96363
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,798.19678
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,365.49836
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,1272.70186
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,1408.86605
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,2592.90391
2010,тонна,әуе көлікпен тасымалданған жүктер,,28869.7
2010,тонна,әуе көлікпен тасымалданған жүктер,Қарағанды,9.2
2010,тонна,әуе көлікпен тасымалданған жүктер,Оңтүстік Қазақстан,737.0
2010,тонна,әуе көлікпен тасымалданған жүктер,Шығыс Қазақстан,32.5
2010,тонна,әуе көлікпен тасымалданған жүктер,Алматы қаласы,28091.0
2010,мың.адам,әуе көлікпен тасымалданған жолаушылар,,3379.2
2010,мың.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,29.3
2010,мың.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,4.7
2010,мың.адам,әуе көлікпен тасымалданған жолаушылар,Қарағанды,18.8
2010,мың.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,668.5
2010,мың.адам,әуе көлікпен тасымалданған жолаушылар,Павлодар,4.0
2010,мың.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,16.1
2010,мың.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,14.8
2010,мың.адам,әуе көлікпен тасымалданған жолаушылар,Шымкент қаласы,2623.1
2010,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,193.9595
2010,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,66.3373
2010,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,20.155
2010,млн.тонна,Перевезено грузов с морским транспортом,,4.655
2010,млн.тонна,Перевезено грузов с морским транспортом,Маңғыстау,4.655
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,,2974.9231
2011,млн.тонна,Құбыр жүргізетін көлікпен,,214.1
2011,млн.тонна,Темір жол көлігі,,279.7
2011,млн.тонна,Автокөлік,,2475.5
2011,млн.тонна,Әуе көлігімен,,0.316
2011,млн.тонна,Ішкі су көлігімен,,1.082
2011,млн.тонна,Теңіз көлігімен,,4.557
2011,млн.тонна,,Ақмола,112.3756
2011,млн.тонна,,Ақтөбе,54.524800000000006
2011,млн.тонна,,Алматы,142.6943
