Year,UNIT_MEASURE,Өңірлер,Value
2016,пайыз,,66.4
2017,пайыз,,68.6
2018,пайыз,,80.0
2019,пайыз,,85.1
2019,пайыз,Ақмола,97.0
2019,пайыз,Ақтөбе,90.0
2019,пайыз,Алматы,76.7
2019,пайыз,Атырау,89.6
2019,пайыз,Батыс Қазақстан,91.4
2019,пайыз,Жамбыл,91.5
2019,пайыз,Қарағанды,82.6
2019,пайыз,Қостанай,89.7
2019,пайыз,Қызылорда,89.2
2019,пайыз,Маңғыстау,66.2
2019,пайыз,Павлодар,85.0
2019,пайыз,Солтүстік Қазақстан,89.2
2019,пайыз,Түркістан,89.9
2019,пайыз,Шығыс Қазақстан,96.7
2019,пайыз,Нұр-Сұлтан қаласы,84.1
2019,пайыз,Алматы қаласы,89.0
2019,пайыз,Шымкент қаласы,77.3
