Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн АҚШ доллары,Қазақстан-донор,3.184537
2011,млн АҚШ доллары,Қазақстан-донор,3.719071
2012,млн АҚШ доллары,Қазақстан-донор,3.063886
2013,млн АҚШ доллары,Қазақстан-донор,3.576984
2014,млн АҚШ доллары,Қазақстан-донор,2.545952
2015,млн АҚШ доллары,Қазақстан-донор,2.946629
2016,млн АҚШ доллары,Қазақстан-донор,3.563592
2016,млн АҚШ доллары,Қазақстан-алушы,1.91
2017,млн АҚШ доллары,Қазақстан-донор,4.701934
2017,млн АҚШ доллары,Қазақстан-алушы,0.049169
