Year,UNIT_MEASURE,SERIES,Өңірлер,Value
2012,мың бірлік,,,1571.7
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,,470.2
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Ақмола,19.5
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Ақтөбе,14.8
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Алматы,70.1
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Атырау,9.3
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Батыс Қазақстан,11.6
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Жамбыл,14.0
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Қарағанды,96.1
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Қостанай,17.0
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Қызылорда,13.5
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Маңғыстау,17.9
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Оңтүстік Қазақстан,31.8
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Павлодар,26.8
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Солтүстік Қазақстан,26.6
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Шығыс Қазақстан,16.9
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Нұр-Сұлтан қаласы,21.7
2012,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Алматы қаласы,62.7
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,,720.8
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Ақмола,34.9
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Ақтөбе,38.5
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Алматы,4.5
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Атырау,40.3
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Батыс Қазақстан,26.4
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Жамбыл,24.3
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Қарағанды,26.7
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Қостанай,51.3
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Қызылорда,15.6
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Маңғыстау,18.1
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Оңтүстік Қазақстан,24.9
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Павлодар,45.1
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Солтүстік Қазақстан,27.4
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Шығыс Қазақстан,71.8
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Нұр-Сұлтан қаласы,75.2
2012,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Алматы қаласы,195.9
2012,мың бірлік,выше 10 Мбит/сек,Ақмола,6.3
2012,мың бірлік,выше 10 Мбит/сек,Ақтөбе,2.1
2012,мың бірлік,выше 10 Мбит/сек,Алматы,5.6
2012,мың бірлік,выше 10 Мбит/сек,Атырау,6.9
2012,мың бірлік,выше 10 Мбит/сек,Батыс Қазақстан,2.0
2012,мың бірлік,выше 10 Мбит/сек,Жамбыл,1.4
2012,мың бірлік,выше 10 Мбит/сек,Қарағанды,16.4
2012,мың бірлік,выше 10 Мбит/сек,Қостанай,10.9
2012,мың бірлік,выше 10 Мбит/сек,Қызылорда,2.4
2012,мың бірлік,выше 10 Мбит/сек,Маңғыстау,2.5
2012,мың бірлік,выше 10 Мбит/сек,Оңтүстік Қазақстан,4.8
2012,мың бірлік,выше 10 Мбит/сек,Павлодар,9.6
2012,мың бірлік,выше 10 Мбит/сек,Солтүстік Қазақстан,1.3
2012,мың бірлік,выше 10 Мбит/сек,Шығыс Қазақстан,8.0
2012,мың бірлік,выше 10 Мбит/сек,Нұр-Сұлтан қаласы,11.8
2012,мың бірлік,выше 10 Мбит/сек,Алматы қаласы,243.6
2013,мың бірлік,,,1958.8
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,,294.0
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Ақмола,20.9
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Ақтөбе,15.8
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Алматы,11.2
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Атырау,10.2
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Батыс Қазақстан,10.1
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Жамбыл,13.1
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Қарағанды,23.2
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Қостанай,15.8
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Қызылорда,13.9
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Маңғыстау,8.1
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Оңтүстік Қазақстан,0.9
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Павлодар,23.7
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Солтүстік Қазақстан,24.5
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Шығыс Қазақстан,22.4
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Нұр-Сұлтан қаласы,18.0
2013,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Алматы қаласы,62.3
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,,906.6
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Ақмола,41.4
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Ақтөбе,40.5
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Алматы,83.1
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Атырау,45.9
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Батыс Қазақстан,25.8
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Жамбыл,31.0
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Қарағанды,101.5
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Қостанай,79.3
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Қызылорда,21.7
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Маңғыстау,29.9
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Оңтүстік Қазақстан,1.0
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Павлодар,50.0
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Солтүстік Қазақстан,33.8
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Шығыс Қазақстан,66.4
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Нұр-Сұлтан қаласы,79.0
2013,мың бірлік,от 2 Мбит/сек до менее 10 Мбит/сек,Алматы қаласы,176.2
2013,мың бірлік,выше 10 Мбит/сек,Ақмола,11.6
2013,мың бірлік,выше 10 Мбит/сек,Ақтөбе,9.5
2013,мың бірлік,выше 10 Мбит/сек,Алматы,12.1
2013,мың бірлік,выше 10 Мбит/сек,Атырау,11.4
2013,мың бірлік,выше 10 Мбит/сек,Батыс Қазақстан,7.4
2013,мың бірлік,выше 10 Мбит/сек,Жамбыл,9.9
2013,мың бірлік,выше 10 Мбит/сек,Қарағанды,36.3
2013,мың бірлік,выше 10 Мбит/сек,Қостанай,5.6
2013,мың бірлік,выше 10 Мбит/сек,Қызылорда,5.1
2013,мың бірлік,выше 10 Мбит/сек,Маңғыстау,11.1
2013,мың бірлік,выше 10 Мбит/сек,Оңтүстік Қазақстан,79.7
2013,мың бірлік,выше 10 Мбит/сек,Павлодар,17.7
2013,мың бірлік,выше 10 Мбит/сек,Солтүстік Қазақстан,5.4
2013,мың бірлік,выше 10 Мбит/сек,Шығыс Қазақстан,17.0
2013,мың бірлік,выше 10 Мбит/сек,Нұр-Сұлтан қаласы,27.1
2013,мың бірлік,выше 10 Мбит/сек,Алматы қаласы,396.5
2014,мың бірлік,,,2093.2
2014,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,,264.2
2014,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Ақмола,16.4
2014,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Ақтөбе,9.8
2014,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Алматы,12.4
2014,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Атырау,7.1
2014,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Батыс Қазақстан,10.2
2014,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Жамбыл,12.9
2014,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Қарағанды,15.6
2014,мың бірлік,от 256 кБит/сек до менее 2 Мбит/сек,Қостанай,15.6
