Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн АҚШ доллары,Қазақстан-алушы,52.809627
2011,млн АҚШ доллары,Қазақстан-алушы,13.76959
2012,млн АҚШ доллары,Қазақстан-алушы,3.400815
2013,млн АҚШ доллары,Қазақстан-алушы,32.236242
2014,млн АҚШ доллары,Қазақстан-алушы,6.119229
2015,млн АҚШ доллары,Қазақстан-алушы,64.913873
2016,млн АҚШ доллары,Қазақстан-алушы,3.961957
2016,млн АҚШ доллары,Қазақстан-донор,0.00315
2017,млн АҚШ доллары,Қазақстан-алушы,42.990499
2017,млн АҚШ доллары,Қазақстан-донор,0.003098
