Year,UNIT_MEASURE,Өңірлер,Value
2010,пайыз,,100
2010,пайыз,Ақмола,100
2010,пайыз,Ақтөбе,100
2010,пайыз,Алматы,100
2010,пайыз,Атырау,100
2010,пайыз,Батыс Қазақстан,100
2010,пайыз,Жамбыл,100
2010,пайыз,Қарағанды,100
2010,пайыз,Қостанай,100
2010,пайыз,Қызылорда,100
2010,пайыз,Маңғыстау,100
2010,пайыз,Павлодар,100
2010,пайыз,Солтүстік Қазақстан,100
2010,пайыз,Түркістан,100
2010,пайыз,Шығыс Қазақстан,100
2010,пайыз,Нұр-Сұлтан қаласы,100
2010,пайыз,Алматы қаласы,100
2010,пайыз,Шымкент қаласы,100
2011,пайыз,,100
2011,пайыз,Ақмола,100
2011,пайыз,Ақтөбе,100
2011,пайыз,Алматы,100
2011,пайыз,Атырау,100
2011,пайыз,Батыс Қазақстан,100
2011,пайыз,Жамбыл,100
2011,пайыз,Қарағанды,100
2011,пайыз,Қостанай,100
2011,пайыз,Қызылорда,100
2011,пайыз,Маңғыстау,100
2011,пайыз,Павлодар,100
2011,пайыз,Солтүстік Қазақстан,100
2011,пайыз,Түркістан,100
2011,пайыз,Шығыс Қазақстан,100
2011,пайыз,Нұр-Сұлтан қаласы,100
2011,пайыз,Алматы қаласы,100
2011,пайыз,Шымкент қаласы,100
2012,пайыз,,100
2012,пайыз,Ақмола,100
2012,пайыз,Ақтөбе,100
2012,пайыз,Алматы,100
2012,пайыз,Атырау,100
2012,пайыз,Батыс Қазақстан,100
2012,пайыз,Жамбыл,100
2012,пайыз,Қарағанды,100
2012,пайыз,Қостанай,100
2012,пайыз,Қызылорда,100
2012,пайыз,Маңғыстау,100
2012,пайыз,Павлодар,100
2012,пайыз,Солтүстік Қазақстан,100
2012,пайыз,Түркістан,100
2012,пайыз,Шығыс Қазақстан,100
2012,пайыз,Нұр-Сұлтан қаласы,100
2012,пайыз,Алматы қаласы,100
2012,пайыз,Шымкент қаласы,100
2013,пайыз,,100
2013,пайыз,Ақмола,100
2013,пайыз,Ақтөбе,100
2013,пайыз,Алматы,100
2013,пайыз,Атырау,100
2013,пайыз,Батыс Қазақстан,100
2013,пайыз,Жамбыл,100
2013,пайыз,Қарағанды,100
2013,пайыз,Қостанай,100
2013,пайыз,Қызылорда,100
2013,пайыз,Маңғыстау,100
2013,пайыз,Павлодар,100
2013,пайыз,Солтүстік Қазақстан,100
2013,пайыз,Түркістан,100
2013,пайыз,Шығыс Қазақстан,100
2013,пайыз,Нұр-Сұлтан қаласы,100
2013,пайыз,Алматы қаласы,100
2013,пайыз,Шымкент қаласы,100
2014,пайыз,,100
2014,пайыз,Ақмола,100
2014,пайыз,Ақтөбе,100
2014,пайыз,Алматы,100
2014,пайыз,Атырау,100
2014,пайыз,Батыс Қазақстан,100
2014,пайыз,Жамбыл,100
2014,пайыз,Қарағанды,100
2014,пайыз,Қостанай,100
2014,пайыз,Қызылорда,100
2014,пайыз,Маңғыстау,100
2014,пайыз,Павлодар,100
2014,пайыз,Солтүстік Қазақстан,100
2014,пайыз,Түркістан,100
2014,пайыз,Шығыс Қазақстан,100
2014,пайыз,Нұр-Сұлтан қаласы,100
2014,пайыз,Алматы қаласы,100
2014,пайыз,Шымкент қаласы,100
2015,пайыз,,100
2015,пайыз,Ақмола,100
