Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,пайыз,тоғай кермаралы,418
2010,пайыз,Қарақұйрық,16154
2010,пайыз,Құлан,2477
2010,пайыз,Арқар,13246
2011,пайыз,тоғай кермаралы,421
2011,пайыз,Қарақұйрық,1210
2011,пайыз,Құлан,2500
2011,пайыз,Арқар,13597
2012,пайыз,тоғай кермаралы,451
2012,пайыз,Қарақұйрық,1263
2012,пайыз,Құлан,2920
2012,пайыз,Арқар,13872
2013,пайыз,тоғай кермаралы,465
2013,пайыз,Қарақұйрық,12888
2013,пайыз,Құлан,3222
2013,пайыз,Арқар,14525
2014,пайыз,тоғай кермаралы,481
2014,пайыз,Қарақұйрық,12994
2014,пайыз,Құлан,3420
2014,пайыз,Арқар,14737
2015,пайыз,тоғай кермаралы,503
2015,пайыз,Қарақұйрық,13197
2015,пайыз,Құлан,3595
2015,пайыз,Арқар,15710
2016,пайыз,тоғай кермаралы,716
2016,пайыз,Қарақұйрық,13218
2016,пайыз,Құлан,3807
2016,пайыз,Арқар,15979
2017,пайыз,тоғай кермаралы,825
2017,пайыз,Қарақұйрық,13727
2017,пайыз,Құлан,3984
2017,пайыз,Арқар,16802
2018,пайыз,тоғай кермаралы,856
2018,пайыз,Қарақұйрық,14055
2018,пайыз,Құлан,4103
2018,пайыз,Арқар,16980
2019,пайыз,тоғай кермаралы,878
2019,пайыз,Қарақұйрық,14391
2019,пайыз,Құлан,4197
2019,пайыз,Арқар,17954
