Year,UNIT_MEASURE,Value
2010,пайыз,18.41463344556467
2011,пайыз,18.891244002423637
2012,пайыз,18.1909864759323
2013,пайыз,19.323264914593533
2014,пайыз,18.55172612091414
2015,пайыз,19.981574480183674
2016,пайыз,19.833523265845937
2017,пайыз,17.59057676570408
2018,пайыз,23.4
