Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн АҚШ доллары,Қазақстан-алушы,459.119206
2011,млн АҚШ доллары,Қазақстан-алушы,140.796046
2012,млн АҚШ доллары,Қазақстан-алушы,64.973739
2013,млн АҚШ доллары,Қазақстан-алушы,67.695702
2013,млн АҚШ доллары,Қазақстан-донор,0.080092
2014,млн АҚШ доллары,Қазақстан-алушы,236.623382
2014,млн АҚШ доллары,Қазақстан-донор,9.33595
2015,млн АҚШ доллары,Қазақстан-алушы,477.362276
2015,млн АҚШ доллары,Қазақстан-донор,11.912603
2016,млн АҚШ доллары,Қазақстан-алушы,1025.859048
2016,млн АҚШ доллары,Қазақстан-донор,10.298983
2017,млн АҚШ доллары,Қазақстан-алушы,184.107148
2017,млн АҚШ доллары,Қазақстан-донор,9.761301
