Year,Өңірлер,Value
2011,,0.4861384507214093
2012,,0.4432929890724379
2012,Ақмола,0.83
2012,Ақтөбе,2.63
2012,Алматы,0.17
2012,Атырау,1.92
2012,Батыс Қазақстан,3.28
2012,Жамбыл,1.0
2012,Қарағанды,4.54
2012,Қостанай,0.04
2012,Қызылорда,6.55
2012,Маңғыстау,2.65
2012,Түркістан,0.12
2012,Павлодар,7.39
2012,Солтүстік Қазақстан,0.29
2012,Шығыс Қазақстан,0.96
2012,Нұр-Сұлтан қаласы,0.06
2012,Алматы қаласы,0.23
2013,,0.4610388251259936
2013,Ақмола,0.51
2013,Ақтөбе,2.31
2013,Алматы,0.2
2013,Атырау,1.92
2013,Батыс Қазақстан,3.31
2013,Жамбыл,0.31
2013,Қарағанды,3.77
2013,Қостанай,0.03
2013,Қызылорда,5.69
2013,Маңғыстау,2.79
2013,Түркістан,0.11
2013,Павлодар,6.58
2013,Солтүстік Қазақстан,0.37
2013,Шығыс Қазақстан,0.88
2013,Нұр-Сұлтан қаласы,0.04
2013,Алматы қаласы,0.14
2014,,0.4162673684542015
2014,Ақмола,0.67
2014,Ақтөбе,3.55
2014,Алматы,0.21
2014,Атырау,1.53
2014,Батыс Қазақстан,5.15
2014,Жамбыл,1.0
2014,Қарағанды,3.54
2014,Қостанай,0.01
2014,Қызылорда,5.08
2014,Маңғыстау,4.07
2014,Түркістан,0.47
2014,Павлодар,6.49
2014,Солтүстік Қазақстан,0.54
2014,Шығыс Қазақстан,0.82
2014,Нұр-Сұлтан қаласы,0.2
2014,Алматы қаласы,0.12
2015,,0.42
2015,Ақмола,0.39
2015,Ақтөбе,3.43
2015,Алматы,0.13
2015,Атырау,1.42
2015,Батыс Қазақстан,5.46
2015,Жамбыл,0.37
2015,Қарағанды,2.7
2015,Қостанай,0.05
2015,Қызылорда,5.4
2015,Маңғыстау,4.14
2015,Түркістан,0.71
2015,Павлодар,6.22
2015,Солтүстік Қазақстан,0.42
2015,Шығыс Қазақстан,0.8
2015,Нұр-Сұлтан қаласы,0.1
2015,Алматы қаласы,0.12
2016,,0.42
2016,Ақмола,0.45
2016,Ақтөбе,3.41
2016,Алматы,0.14
2016,Атырау,1.46
2016,Батыс Қазақстан,5.68
2016,Жамбыл,0.24
2016,Қарағанды,2.69
2016,Қостанай,0.02
2016,Қызылорда,5.96
2016,Маңғыстау,4.15
2016,Түркістан,0.7
2016,Павлодар,6.31
2016,Солтүстік Қазақстан,0.22
2016,Шығыс Қазақстан,0.84
2016,Нұр-Сұлтан қаласы,0.09
2016,Алматы қаласы,0.11
2017,,0.42
2017,Ақмола,0.43
2017,Ақтөбе,3.69
2017,Алматы,0.15
2017,Атырау,1.4
2017,Батыс Қазақстан,5.54
2017,Жамбыл,0.22
2017,Қарағанды,2.84
2017,Қостанай,0.01
2017,Қызылорда,5.96
2017,Маңғыстау,4.61
2017,Түркістан,0.68
2017,Павлодар,6.1
2017,Солтүстік Қазақстан,0.3
2017,Шығыс Қазақстан,0.83
2017,Нұр-Сұлтан қаласы,0.1
2017,Алматы қаласы,0.12
2018,,0.37
2018,Ақмола,0.3
2018,Ақтөбе,2.98
2018,Алматы,0.08
2018,Атырау,1.13
2018,Батыс Қазақстан,6.32
2018,Жамбыл,0.39
2018,Қарағанды,2.4
2018,Қостанай,0.02
2018,Қызылорда,5.42
2018,Маңғыстау,4.75
2018,Түркістан,0.33
2018,Павлодар,7.12
2018,Солтүстік Қазақстан,0.06
2018,Шығыс Қазақстан,0.79
2018,Нұр-Сұлтан қаласы,0.07
2018,Алматы қаласы,0.09
2019,,0.34
2019,Ақмола,0.27
2019,Ақтөбе,2.99
2019,Алматы,0.08
2019,Атырау,0.78
2019,Батыс Қазақстан,5.41
2019,Жамбыл,0.34
2019,Қарағанды,2.03
2019,Қостанай,0.01
2019,Қызылорда,6.54
2019,Маңғыстау,3.64
2019,Түркістан,0.26
2019,Павлодар,5.26
2019,Солтүстік Қазақстан,0.01
2019,Шығыс Қазақстан,1.04
2019,Нұр-Сұлтан қаласы,0.06
2019,Алматы қаласы,0.11
