Year,UNIT_MEASURE,SERIES,Өңірлер,Value
2010,мың теңге,природного характера,,1249382.0
2010,мың теңге,природного характера,Ақмола,20000.0
2010,мың теңге,природного характера,Ақтөбе,5055.0
2010,мың теңге,природного характера,Алматы,900.0
2010,мың теңге,природного характера,Атырау,0.0
2010,мың теңге,природного характера,Батыс Қазақстан,0.0
2010,мың теңге,природного характера,Жамбыл,60.8
2010,мың теңге,природного характера,Қарағанды,11256.0
2010,мың теңге,природного характера,Қостанай,20900.0
2010,мың теңге,природного характера,Қызылорда,4400.0
2010,мың теңге,природного характера,Маңғыстау,44918.2
2010,мың теңге,природного характера,Павлодар,75492.0
2010,мың теңге,природного характера,Солтүстік Қазақстан,0.0
2010,мың теңге,природного характера,Түркістан,61300.0
2010,мың теңге,природного характера,Шығыс Қазақстан,1005100.0
2010,мың теңге,природного характера,Нұр-Сұлтан қаласы,0.0
2010,мың теңге,природного характера,Алматы қаласы,0.0
2010,мың теңге,природного характера,Шымкент қаласы,0.0
2010,мың теңге,техногенного характера,,8334944.729999999
2010,мың теңге,техногенного характера,Ақмола,4504.8
2010,мың теңге,техногенного характера,Ақтөбе,0.0
2010,мың теңге,техногенного характера,Алматы,7900000.0
2010,мың теңге,техногенного характера,Атырау,0.0
2010,мың теңге,техногенного характера,Батыс Қазақстан,382700.63
2010,мың теңге,техногенного характера,Жамбыл,0.0
2010,мың теңге,техногенного характера,Қарағанды,0.0
2010,мың теңге,техногенного характера,Қостанай,0.0
2010,мың теңге,техногенного характера,Қызылорда,0.0
2010,мың теңге,техногенного характера,Маңғыстау,17139.3
2010,мың теңге,техногенного характера,Павлодар,0.0
2010,мың теңге,техногенного характера,Солтүстік Қазақстан,0.0
2010,мың теңге,техногенного характера,Түркістан,0.0
2010,мың теңге,техногенного характера,Шығыс Қазақстан,30600.0
2010,мың теңге,техногенного характера,Нұр-Сұлтан қаласы,0.0
2010,мың теңге,техногенного характера,Алматы қаласы,0.0
2010,мың теңге,техногенного характера,Шымкент қаласы,0.0
2011,мың теңге,природного характера,,325575.2
2011,мың теңге,природного характера,Ақмола,578.3
2011,мың теңге,природного характера,Ақтөбе,0.0
2011,мың теңге,природного характера,Алматы,280.0
2011,мың теңге,природного характера,Атырау,0.0
2011,мың теңге,природного характера,Батыс Қазақстан,0.0
2011,мың теңге,природного характера,Жамбыл,64.9
2011,мың теңге,природного характера,Қарағанды,0.0
2011,мың теңге,природного характера,Қостанай,0.0
2011,мың теңге,природного характера,Қызылорда,4500.0
2011,мың теңге,природного характера,Маңғыстау,120853.4
2011,мың теңге,природного характера,Павлодар,91298.6
2011,мың теңге,природного характера,Солтүстік Қазақстан,0.0
2011,мың теңге,природного характера,Түркістан,0.0
2011,мың теңге,природного характера,Шығыс Қазақстан,108000.0
2011,мың теңге,природного характера,Нұр-Сұлтан қаласы,0.0
2011,мың теңге,природного характера,Алматы қаласы,0.0
2011,мың теңге,природного характера,Шымкент қаласы,0.0
2011,мың теңге,техногенного характера,,949121.35
2011,мың теңге,техногенного характера,Ақмола,0.0
2011,мың теңге,техногенного характера,Ақтөбе,0.0
2011,мың теңге,техногенного характера,Алматы,367400.0
2011,мың теңге,техногенного характера,Атырау,0.0
2011,мың теңге,техногенного характера,Батыс Қазақстан,274747.85
2011,мың теңге,техногенного характера,Жамбыл,0.0
2011,мың теңге,техногенного характера,Қарағанды,255073.5
2011,мың теңге,техногенного характера,Қостанай,0.0
2011,мың теңге,техногенного характера,Қызылорда,0.0
2011,мың теңге,техногенного характера,Маңғыстау,0.0
2011,мың теңге,техногенного характера,Павлодар,0.0
2011,мың теңге,техногенного характера,Солтүстік Қазақстан,0.0
2011,мың теңге,техногенного характера,Түркістан,0.0
2011,мың теңге,техногенного характера,Шығыс Қазақстан,51900.0
2011,мың теңге,техногенного характера,Нұр-Сұлтан қаласы,0.0
2011,мың теңге,техногенного характера,Алматы қаласы,0.0
2011,мың теңге,техногенного характера,Шымкент қаласы,0.0
2012,мың теңге,природного характера,,1238491.2
2012,мың теңге,природного характера,Ақмола,7579.2
2012,мың теңге,природного характера,Ақтөбе,2000.0
2012,мың теңге,природного характера,Алматы,867.0
2012,мың теңге,природного характера,Атырау,0.0
