Year,UNIT_MEASURE,Value
2010,пайыз,210.0
2011,пайыз,21.0
2012,пайыз,23.9
2013,пайыз,26.5
2014,пайыз,27.7
2015,пайыз,25.9
2016,пайыз,23.9
2017,пайыз,25.8
2018,пайыз,267.0
2019,пайыз,339.0
