Year,UNIT_MEASURE,Өңірлер,Value
2015,пайыз,,30.0
2016,пайыз,,35.0
2017,пайыз,,39.9
2018,пайыз,,54.0
2017,пайыз,Ақмола,55.0
2018,пайыз,Ақмола,56.2
2017,пайыз,Ақтөбе,53.4
2018,пайыз,Ақтөбе,54.8
2017,пайыз,Алматы,12.8
2018,пайыз,Алматы,33.6
2017,пайыз,Атырау,13.5
2018,пайыз,Атырау,52.7
2017,пайыз,Батыс Қазақстан,30.5
2018,пайыз,Батыс Қазақстан,72.3
2017,пайыз,Жамбыл,12.9
2018,пайыз,Жамбыл,65.8
2017,пайыз,Қарағанды,50.7
2018,пайыз,Қарағанды,51.1
2017,пайыз,Қостанай,33.5
2018,пайыз,Қостанай,52.8
2017,пайыз,Қызылорда,25.0
2018,пайыз,Қызылорда,17.1
2017,пайыз,Маңғыстау,30.9
2018,пайыз,Маңғыстау,39.9
2017,пайыз,Оңтүстік Қазақстан,55.2
2018,пайыз,Оңтүстік Қазақстан,62.5
2017,пайыз,Павлодар,66.5
2017,пайыз,Солтүстік Қазақстан,23.6
2018,пайыз,Солтүстік Қазақстан,57.4
2018,пайыз,Түркістан,79.2
2017,пайыз,Шығыс Қазақстан,53.2
2018,пайыз,Шығыс Қазақстан,77.6
2017,пайыз,Нұр-Сұлтан қаласы,44.3
2018,пайыз,Нұр-Сұлтан қаласы,36.8
2017,пайыз,Алматы қаласы,36.4
2018,пайыз,Алматы қаласы,49.3
2018,пайыз,Шымкент қаласы,46.7
