Year,UNIT_MEASURE,SERIES,Value
2010,пайыз,сайгак,4.7
2010,пайыз,тугайный благородный олень,0.7
2010,пайыз,кулан,0.9
2010,пайыз,джейран,-25.1
2010,пайыз,архар,2.6
2011,пайыз,сайгак,19.3
2011,пайыз,тугайный благородный олень,7.1
2011,пайыз,кулан,16.8
2011,пайыз,джейран,4.3
2011,пайыз,архар,2.0
2012,пайыз,сайгак,34.8
2012,пайыз,тугайный благородный олень,3.1
2012,пайыз,кулан,10.3
2012,пайыз,джейран,2.0
2012,пайыз,архар,4.7
2013,пайыз,сайгак,36.0
2013,пайыз,тугайный благородный олень,3.4
2013,пайыз,кулан,6.1
2013,пайыз,джейран,0.8
2013,пайыз,архар,1.4
2014,пайыз,сайгак,37.3
2014,пайыз,тугайный благородный олень,4.5
2014,пайыз,кулан,5.1
2014,пайыз,джейран,1.5
2014,пайыз,архар,6.6
2015,пайыз,сайгак,15.1
2015,пайыз,тугайный благородный олень,4.5
2015,пайыз,кулан,5.1
2015,пайыз,джейран,1.5
2015,пайыз,архар,6.6
2016,пайыз,сайгак,-63.3
2016,пайыз,тугайный благородный олень,42.3
2016,пайыз,кулан,5.89
2016,пайыз,джейран,0.16
2016,пайыз,архар,1.7
2017,пайыз,сайгак,40.9
2017,пайыз,тугайный благородный олень,15.2
2017,пайыз,кулан,4.6
2017,пайыз,джейран,3.8
2017,пайыз,архар,5.1
2018,пайыз,сайгак,41.0
2018,пайыз,тугайный благородный олень,3.7
2018,пайыз,кулан,2.9
2018,пайыз,джейран,2.3
2018,пайыз,архар,1.5
2019,пайыз,сайгак,55.5
2019,пайыз,тугайный благородный олень,2.5
2019,пайыз,кулан,2.3
2019,пайыз,джейран,2.3
2019,пайыз,архар,5.2
