Year,Value,UNIT_MEASURE
2010,87.1,процент
2011,71.4,процент
2012,54.9,процент
2013,56.4,процент
2014,54.2,процент
2015,77.0,процент
2016,73.2,процент
2017,73.1,процент
2018,59.3,процент
2019,64.0,процент
