Year,Value,UNIT_MEASURE
2010,59.2,процент
2011,73.2,процент
2012,85.7,процент
2013,91.5,процент
2014,96.0,процент
2015,97.99,процент
2016,100.0,процент
2017,100.0,процент
2018,100.0,процент
2019,100.0,процент
