Year,Value,UNIT_MEASURE
2010,3.251092147469366,число филиалов коммерческих банков на 100 000 взрослых
2010,66.1084379184613,число банкоматов на 100 000 взрослых
2011,3.129183139172521,число филиалов коммерческих банков на 100 000 взрослых
2011,69.52787742106614,число банкоматов на 100 000 взрослых
2012,3.2006036778831173,число филиалов коммерческих банков на 100 000 взрослых
2012,73.2582619604358,число банкоматов на 100 000 взрослых
2013,3.156029890198204,число филиалов коммерческих банков на 100 000 взрослых
2013,75.04988850298912,число банкоматов на 100 000 взрослых
2014,3.348735721714094,число филиалов коммерческих банков на 100 000 взрослых
2014,76.30807191608898,число банкоматов на 100 000 взрослых
2015,3.3705674161164425,число филиалов коммерческих банков на 100 000 взрослых
2015,75.18831606780726,число банкоматов на 100 000 взрослых
2016,2.9465215721088307,число филиалов коммерческих банков на 100 000 взрослых
2016,78.03793005798485,число банкоматов на 100 000 взрослых
2017,2.8297588303577013,число филиалов коммерческих банков на 100 000 взрослых
2017,78.63324107968191,число банкоматов на 100 000 взрослых
2018,2.699051416365501,число филиалов коммерческих банков на 100 000 взрослых
2018,88.76253568387678,число банкоматов на 100 000 взрослых
2019,2.3329917037729904,число филиалов коммерческих банков на 100 000 взрослых
2019,87.1,число банкоматов на 100 000 взрослых
