Year,Value,UNIT_MEASURE
2014,93.5,в процентах к предыдущему году
2015,115.3,в процентах к предыдущему году
2016,124.0,в процентах к предыдущему году
2017,118.7,в процентах к предыдущему году
2018,107.2,в процентах к предыдущему году
