Year,UNIT_MEASURE,Value
2013,в процентах к предыдущему году,19.6
2014,в процентах к предыдущему году,18.5
2015,в процентах к предыдущему году,14.1
2016,в процентах к предыдущему году,12.9
2017,в процентах к предыдущему году,15.6
2018,в процентах к предыдущему году,15.7
2019,в процентах к предыдущему году,15.2
