Year,UNIT_MEASURE,SERIES,Регионы,Value
2010,тыс.гектар,"Площадь территории, покрытой лесом",,12317.8
2010,тыс.гектар,"Площадь территории, покрытой лесом",Акмолинская,373.7
2010,тыс.гектар,"Площадь территории, покрытой лесом",Актюбинская,47.3
2010,тыс.гектар,"Площадь территории, покрытой лесом",Алматинская,1797.6
2010,тыс.гектар,"Площадь территории, покрытой лесом",Атырауская,15.8
2010,тыс.гектар,"Площадь территории, покрытой лесом",Западно-Казахстанская,103.3
2010,тыс.гектар,"Площадь территории, покрытой лесом",Жымбылская,2213.6
2010,тыс.гектар,"Площадь территории, покрытой лесом",Карагандинская,155.4
2010,тыс.гектар,"Площадь территории, покрытой лесом",Костанайская,222.4
2010,тыс.гектар,"Площадь территории, покрытой лесом",Кызылординская,3094.7
2010,тыс.гектар,"Площадь территории, покрытой лесом",Мангистауская,122.7
2010,тыс.гектар,"Площадь территории, покрытой лесом",Павлодарская,247.0
2010,тыс.гектар,"Площадь территории, покрытой лесом",Северо-Казахстанская,530.2
2010,тыс.гектар,"Площадь территории, покрытой лесом",Туркестанская,1603.4
2010,тыс.гектар,"Площадь территории, покрытой лесом",Восточно-Казахстанская,1800.8
2010,млн.м3,Запасы наземной биомассы в лесах,,380.7
2010,млн.м3,Запасы наземной биомассы в лесах,Акмолинская,42.7
2010,млн.м3,Запасы наземной биомассы в лесах,Актюбинская,1.0
2010,млн.м3,Запасы наземной биомассы в лесах,Алматинская,38.7
2010,млн.м3,Запасы наземной биомассы в лесах,Атырауская,0.5
2010,млн.м3,Запасы наземной биомассы в лесах,Западно-Казахстанская,8.0
2010,млн.м3,Запасы наземной биомассы в лесах,Жымбылская,3.4
2010,млн.м3,Запасы наземной биомассы в лесах,Карагандинская,4.6
2010,млн.м3,Запасы наземной биомассы в лесах,Костанайская,16.5
2010,млн.м3,Запасы наземной биомассы в лесах,Кызылординская,6.0
2010,млн.м3,Запасы наземной биомассы в лесах,Мангистауская,0.1
2010,млн.м3,Запасы наземной биомассы в лесах,Павлодарская,26.6
2010,млн.м3,Запасы наземной биомассы в лесах,Северо-Казахстанская,54.4
2010,млн.м3,Запасы наземной биомассы в лесах,Туркестанская,3.1
2010,млн.м3,Запасы наземной биомассы в лесах,Восточно-Казахстанская,175.1
2010,процент,Изменение чистой площади лесов,,24.0
2010,процент,Изменение чистой площади лесов,Акмолинская,-6.4
2010,процент,Изменение чистой площади лесов,Актюбинская,-0.2
2010,процент,Изменение чистой площади лесов,Алматинская,-0.6
2010,процент,Изменение чистой площади лесов,Атырауская,0.0
2010,процент,Изменение чистой площади лесов,Западно-Казахстанская,1.6
2010,процент,Изменение чистой площади лесов,Жымбылская,2.9
2010,процент,Изменение чистой площади лесов,Карагандинская,10.4
2010,процент,Изменение чистой площади лесов,Костанайская,7.2
2010,процент,Изменение чистой площади лесов,Кызылординская,3.8
2010,процент,Изменение чистой площади лесов,Мангистауская,0.0
2010,процент,Изменение чистой площади лесов,Павлодарская,1.1
2010,процент,Изменение чистой площади лесов,Северо-Казахстанская,-0.2
2010,процент,Изменение чистой площади лесов,Туркестанская,4.2
2010,процент,Изменение чистой площади лесов,Восточно-Казахстанская,0.3
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",,12317.8
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Акмолинская,373.7
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Актюбинская,47.3
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Алматинская,1797.6
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Атырауская,15.8
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Западно-Казахстанская,103.3
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Жымбылская,2213.6
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Карагандинская,155.4
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Костанайская,222.4
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Кызылординская,3094.7
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Мангистауская,122.7
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Павлодарская,247.0
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Северо-Казахстанская,530.2
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Туркестанская,1603.4
2010,тыс.гектар,"Доля лесной площади, находящейся в охраняемых законом зонах",Восточно-Казахстанская,1800.8
2010,тыс.гектар,"Доля площади лесов, в отношении которых разработан долгосрочный план управления лесным хозяйством",,12317.8
2010,тыс.гектар,"Доля площади лесов, в отношении которых разработан долгосрочный план управления лесным хозяйством",Акмолинская,373.7
2010,тыс.гектар,"Доля площади лесов, в отношении которых разработан долгосрочный план управления лесным хозяйством",Актюбинская,47.3
2010,тыс.гектар,"Доля площади лесов, в отношении которых разработан долгосрочный план управления лесным хозяйством",Алматинская,1797.6
2010,тыс.гектар,"Доля площади лесов, в отношении которых разработан долгосрочный план управления лесным хозяйством",Атырауская,15.8
2010,тыс.гектар,"Доля площади лесов, в отношении которых разработан долгосрочный план управления лесным хозяйством",Западно-Казахстанская,103.3
2010,тыс.гектар,"Доля площади лесов, в отношении которых разработан долгосрочный план управления лесным хозяйством",Жымбылская,2213.6
2010,тыс.гектар,"Доля площади лесов, в отношении которых разработан долгосрочный план управления лесным хозяйством",Карагандинская,155.4
2010,тыс.гектар,"Доля площади лесов, в отношении которых разработан долгосрочный план управления лесным хозяйством",Костанайская,222.4
2010,тыс.гектар,"Доля площади лесов, в отношении которых разработан долгосрочный план управления лесным хозяйством",Кызылординская,3094.7
2010,тыс.гектар,"Доля площади лесов, в отношении которых разработан долгосрочный план управления лесным хозяйством",Мангистауская,122.7
2010,тыс.гектар,"Доля площади лесов, в отношении которых разработан долгосрочный план управления лесным хозяйством",Павлодарская,247.0
