Year,UNIT_MEASURE,SERIES,Регионы,Value
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Алматинская,83.1
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Атырауская,45.9
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Западно-Казахстанская,25.8
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Жымбылская,31.0
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Карагандинская,101.5
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Костанайская,79.3
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Кызылординская,21.7
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Мангистауская,29.9
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Южно-Казахстанская,1.0
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Павлодарская,50.0
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Северо-Казахстанская,33.8
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Восточно-Казахстанская,66.4
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,г_Нур-Султан,79.0
2013,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,г_Алматы,176.2
2013,тыс.единиц,выше 10 Мбит/сек,Акмолинская,11.6
2013,тыс.единиц,выше 10 Мбит/сек,Актюбинская,9.5
2013,тыс.единиц,выше 10 Мбит/сек,Алматинская,12.1
2013,тыс.единиц,выше 10 Мбит/сек,Атырауская,11.4
2013,тыс.единиц,выше 10 Мбит/сек,Западно-Казахстанская,7.4
2013,тыс.единиц,выше 10 Мбит/сек,Жымбылская,9.9
2013,тыс.единиц,выше 10 Мбит/сек,Карагандинская,36.3
2013,тыс.единиц,выше 10 Мбит/сек,Костанайская,5.6
2013,тыс.единиц,выше 10 Мбит/сек,Кызылординская,5.1
2013,тыс.единиц,выше 10 Мбит/сек,Мангистауская,11.1
2013,тыс.единиц,выше 10 Мбит/сек,Южно-Казахстанская,79.7
