Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн.долл.США,Данные по Казахстану как получателю,52.809627
2011,млн.долл.США,Данные по Казахстану как получателю,13.76959
2012,млн.долл.США,Данные по Казахстану как получателю,3.400815
2013,млн.долл.США,Данные по Казахстану как получателю,32.236242
2014,млн.долл.США,Данные по Казахстану как получателю,6.119229
2015,млн.долл.США,Данные по Казахстану как получателю,64.913873
2016,млн.долл.США,Данные по Казахстану как получателю,3.961957
2016,млн.долл.США,Данные по Казахстану как донору,0.00315
2017,млн.долл.США,Данные по Казахстану как получателю,42.990499
2017,млн.долл.США,Данные по Казахстану как донору,0.003098
