Year,UNIT_MEASURE,Регионы,Value
2010,человек,,107786.0
2010,человек,Акмолинская,1423.0
2010,человек,Актюбинская,5642.0
2010,человек,Алматинская,3869.0
2010,человек,Атырауская,1558.0
2010,человек,Западно-Казахстанская,3019.0
2010,человек,Карагандинская,9640.0
2010,человек,Костанайская,6198.0
2010,человек,Кызылординская,10565.0
2010,человек,Мангистауская,15848.0
2010,человек,Южно-Казахстанская,8500.0
2010,человек,Павлодарская,1040.0
2010,человек,Северо-Казахстанская,497.0
2010,человек,Восточно-Казахстанская,25021.0
2010,человек,г_Нур-Султан,3.0
2010,человек,г_Алматы,16347.0
2011,человек,,134568.0
2011,человек,Акмолинская,1192.0
2011,человек,Актюбинская,2221.0
2011,человек,Алматинская,3475.0
2011,человек,Атырауская,1720.0
2011,человек,Западно-Казахстанская,3059.0
2011,человек,Жымбылская,286.0
2011,человек,Карагандинская,9270.0
2011,человек,Костанайская,6106.0
2011,человек,Кызылординская,12262.0
2011,человек,Мангистауская,16563.0
2011,человек,Южно-Казахстанская,1638.0
2011,человек,Павлодарская,857.0
2011,человек,Северо-Казахстанская,3381.0
2011,человек,Восточно-Казахстанская,25250.0
2011,человек,г_Нур-Султан,6545.0
2011,человек,г_Алматы,40743.0
2012,человек,,114150.0
2012,человек,Акмолинская,786.0
2012,человек,Актюбинская,2229.0
2012,человек,Алматинская,2680.0
2012,человек,Атырауская,2802.0
2012,человек,Западно-Казахстанская,2698.0
2012,человек,Жымбылская,534.0
2012,человек,Карагандинская,7768.0
2012,человек,Костанайская,5938.0
2012,человек,Кызылординская,1262.0
2012,человек,Мангистауская,16012.0
2012,человек,Южно-Казахстанская,874.0
2012,человек,Павлодарская,826.0
2012,человек,Северо-Казахстанская,3586.0
2012,человек,Восточно-Казахстанская,16438.0
2012,человек,г_Нур-Султан,6791.0
2012,человек,г_Алматы,42926.0
2013,человек,,111466.0
2013,человек,Акмолинская,581.0
2013,человек,Актюбинская,2172.0
2013,человек,Алматинская,2287.0
2013,человек,Атырауская,2818.0
2013,человек,Западно-Казахстанская,2643.0
2013,человек,Жымбылская,679.0
2013,человек,Карагандинская,7451.0
2013,человек,Костанайская,5947.0
2013,человек,Кызылординская,1117.0
2013,человек,Мангистауская,15653.0
2013,человек,Южно-Казахстанская,898.0
2013,человек,Павлодарская,810.0
2013,человек,Северо-Казахстанская,3915.0
2013,человек,Восточно-Казахстанская,13382.0
2013,человек,г_Нур-Султан,6918.0
2013,человек,г_Алматы,44195.0
2014,человек,,120609.0
2014,человек,Акмолинская,595.0
2014,человек,Актюбинская,1047.0
2014,человек,Алматинская,1908.0
2014,человек,Атырауская,2760.0
2014,человек,Западно-Казахстанская,2580.0
2014,человек,Жымбылская,3561.0
2014,человек,Карагандинская,7919.0
2014,человек,Костанайская,5847.0
2014,человек,Кызылординская,1195.0
2014,человек,Мангистауская,15743.0
2014,человек,Южно-Казахстанская,521.0
2014,человек,Павлодарская,802.0
