Year,UNIT_MEASURE,Value
2010,процент,17.4
2011,процент,18.1
2012,процент,17.5
2013,процент,18.5
2014,процент,17.8
2015,процент,19.3
2016,процент,19.1
2017,процент,17.1
2018,процент,22.4
2019,процент,23.2
