Year,UNIT_MEASURE,Регионы,Value
2010,в процентах к предыдущему году,,109.1
2011,в процентах к предыдущему году,,112.1
2011,в процентах к предыдущему году,Акмолинская,111.5
2011,в процентах к предыдущему году,Актюбинская,107.7
2011,в процентах к предыдущему году,Алматинская,124.8
2011,в процентах к предыдущему году,Атырауская,99.1
2011,в процентах к предыдущему году,Западно-Казахстанская,100.0
2011,в процентах к предыдущему году,Жымбылская,127.3
2011,в процентах к предыдущему году,Карагандинская,110.0
2011,в процентах к предыдущему году,Костанайская,97.2
2011,в процентах к предыдущему году,Кызылординская,100.0
2011,в процентах к предыдущему году,Мангистауская,66.8
2011,в процентах к предыдущему году,Южно-Казахстанская,121.5
2011,в процентах к предыдущему году,Павлодарская,98.3
2011,в процентах к предыдущему году,Северо-Казахстанская,112.9
2011,в процентах к предыдущему году,Восточно-Казахстанская,120.7
2011,в процентах к предыдущему году,г_Нур-Султан,300.9
2011,в процентах к предыдущему году,г_Алматы,120.0
2012,в процентах к предыдущему году,,102.8
2012,в процентах к предыдущему году,Акмолинская,103.7
2012,в процентах к предыдущему году,Актюбинская,100.0
2012,в процентах к предыдущему году,Алматинская,100.0
2012,в процентах к предыдущему году,Атырауская,63.5
2012,в процентах к предыдущему году,Западно-Казахстанская,98.0
2012,в процентах к предыдущему году,Жымбылская,94.3
2012,в процентах к предыдущему году,Карагандинская,100.0
2012,в процентах к предыдущему году,Костанайская,100.0
2012,в процентах к предыдущему году,Кызылординская,132.4
2012,в процентах к предыдущему году,Мангистауская,100.0
2012,в процентах к предыдущему году,Южно-Казахстанская,104.2
2012,в процентах к предыдущему году,Павлодарская,104.8
2012,в процентах к предыдущему году,Северо-Казахстанская,94.5
2012,в процентах к предыдущему году,Восточно-Казахстанская,120.7
2012,в процентах к предыдущему году,г_Нур-Султан,100.0
2012,в процентах к предыдущему году,г_Алматы,103.4
2013,в процентах к предыдущему году,,102.1
2013,в процентах к предыдущему году,Акмолинская,97.6
2013,в процентах к предыдущему году,Актюбинская,101.9
2013,в процентах к предыдущему году,Алматинская,104.5
2013,в процентах к предыдущему году,Атырауская,93.1
2013,в процентах к предыдущему году,Западно-Казахстанская,108.3
2013,в процентах к предыдущему году,Жымбылская,139.5
2013,в процентах к предыдущему году,Карагандинская,102.8
2013,в процентах к предыдущему году,Костанайская,107.9
2013,в процентах к предыдущему году,Кызылординская,151.4
2013,в процентах к предыдущему году,Мангистауская,127.1
2013,в процентах к предыдущему году,Южно-Казахстанская,88.8
2013,в процентах к предыдущему году,Павлодарская,100.0
2013,в процентах к предыдущему году,Северо-Казахстанская,101.6
2013,в процентах к предыдущему году,Восточно-Казахстанская,105.4
2013,в процентах к предыдущему году,г_Нур-Султан,97.8
2013,в процентах к предыдущему году,г_Алматы,94.9
2014,в процентах к предыдущему году,,103.8
2014,в процентах к предыдущему году,Акмолинская,113.2
2014,в процентах к предыдущему году,Актюбинская,93.0
2014,в процентах к предыдущему году,Алматинская,87.1
2014,в процентах к предыдущему году,Атырауская,159.2
2014,в процентах к предыдущему году,Западно-Казахстанская,89.2
2014,в процентах к предыдущему году,Жымбылская,116.4
2014,в процентах к предыдущему году,Карагандинская,116.5
2014,в процентах к предыдущему году,Костанайская,114.1
2014,в процентах к предыдущему году,Кызылординская,87.2
2014,в процентах к предыдущему году,Мангистауская,113.5
2014,в процентах к предыдущему году,Южно-Казахстанская,69.0
2014,в процентах к предыдущему году,Павлодарская,94.1
2014,в процентах к предыдущему году,Северо-Казахстанская,105.2
2014,в процентах к предыдущему году,Восточно-Казахстанская,100.2
2014,в процентах к предыдущему году,г_Нур-Султан,102.1
2014,в процентах к предыдущему году,г_Алматы,122.3
2015,в процентах к предыдущему году,,97.3
2015,в процентах к предыдущему году,Акмолинская,107.8
2015,в процентах к предыдущему году,Актюбинская,99.7
2015,в процентах к предыдущему году,Алматинская,97.2
2015,в процентах к предыдущему году,Атырауская,70.8
2015,в процентах к предыдущему году,Западно-Казахстанская,76.4
2015,в процентах к предыдущему году,Жымбылская,89.3
2015,в процентах к предыдущему году,Карагандинская,112.6
2015,в процентах к предыдущему году,Костанайская,87.8
2015,в процентах к предыдущему году,Кызылординская,107.5
2015,в процентах к предыдущему году,Мангистауская,69.3
2015,в процентах к предыдущему году,Южно-Казахстанская,128.6
2015,в процентах к предыдущему году,Павлодарская,98.1
2015,в процентах к предыдущему году,Северо-Казахстанская,97.6
2015,в процентах к предыдущему году,Восточно-Казахстанская,89.7
2015,в процентах к предыдущему году,г_Нур-Султан,67.3
2015,в процентах к предыдущему году,г_Алматы,77.8
2016,в процентах к предыдущему году,,99.0
2016,в процентах к предыдущему году,Акмолинская,98.4
2016,в процентах к предыдущему году,Актюбинская,101.4
2016,в процентах к предыдущему году,Алматинская,93.7
2016,в процентах к предыдущему году,Атырауская,125.3
2016,в процентах к предыдущему году,Западно-Казахстанская,87.3
2016,в процентах к предыдущему году,Жымбылская,90.3
2016,в процентах к предыдущему году,Карагандинская,112.0
2016,в процентах к предыдущему году,Костанайская,104.4
2016,в процентах к предыдущему году,Кызылординская,90.7
2016,в процентах к предыдущему году,Мангистауская,100.5
2016,в процентах к предыдущему году,Южно-Казахстанская,107.1
2016,в процентах к предыдущему году,Павлодарская,97.6
2016,в процентах к предыдущему году,Северо-Казахстанская,89.1
2016,в процентах к предыдущему году,Восточно-Казахстанская,95.8
2016,в процентах к предыдущему году,г_Нур-Султан,100.5
2016,в процентах к предыдущему году,г_Алматы,101.0
2017,в процентах к предыдущему году,,103.6
2017,в процентах к предыдущему году,Акмолинская,102.0
2017,в процентах к предыдущему году,Актюбинская,108.7
2017,в процентах к предыдущему году,Алматинская,84.8
2017,в процентах к предыдущему году,Атырауская,111.7
2017,в процентах к предыдущему году,Западно-Казахстанская,104.8
2017,в процентах к предыдущему году,Жымбылская,78.1
2017,в процентах к предыдущему году,Карагандинская,105.5
2017,в процентах к предыдущему году,Костанайская,103.2
2017,в процентах к предыдущему году,Кызылординская,111.3
2017,в процентах к предыдущему году,Мангистауская,122.2
2017,в процентах к предыдущему году,Южно-Казахстанская,101.8
2017,в процентах к предыдущему году,Павлодарская,105.6
2017,в процентах к предыдущему году,Северо-Казахстанская,117.5
2017,в процентах к предыдущему году,Восточно-Казахстанская,105.4
2017,в процентах к предыдущему году,г_Нур-Султан,88.4
2017,в процентах к предыдущему году,г_Алматы,106.2
2018,в процентах к предыдущему году,,104.7
2018,в процентах к предыдущему году,Акмолинская,105.7
2018,в процентах к предыдущему году,Актюбинская,108.4
2018,в процентах к предыдущему году,Алматинская,106.9
2018,в процентах к предыдущему году,Атырауская,108.7
2018,в процентах к предыдущему году,Западно-Казахстанская,112.1
2018,в процентах к предыдущему году,Жымбылская,105.8
2018,в процентах к предыдущему году,Карагандинская,100.8
2018,в процентах к предыдущему году,Костанайская,103.2
2018,в процентах к предыдущему году,Кызылординская,98.6
2018,в процентах к предыдущему году,Мангистауская,106.0
2018,в процентах к предыдущему году,Павлодарская,106.1
2018,в процентах к предыдущему году,Северо-Казахстанская,91.0
2018,в процентах к предыдущему году,Туркестанская,108.5
2018,в процентах к предыдущему году,Восточно-Казахстанская,112.1
2018,в процентах к предыдущему году,г_Нур-Султан,107.3
2018,в процентах к предыдущему году,г_Алматы,103.9
2018,в процентах к предыдущему году,г_Шымкент,116.4
2019,в процентах к предыдущему году,,105.3
2019,в процентах к предыдущему году,Акмолинская,98.3
2019,в процентах к предыдущему году,Актюбинская,98.5
2019,в процентах к предыдущему году,Алматинская,104.6
2019,в процентах к предыдущему году,Атырауская,107.3
2019,в процентах к предыдущему году,Западно-Казахстанская,107.5
2019,в процентах к предыдущему году,Жымбылская,111.0
2019,в процентах к предыдущему году,Карагандинская,98.6
2019,в процентах к предыдущему году,Костанайская,129.3
2019,в процентах к предыдущему году,Кызылординская,105.5
2019,в процентах к предыдущему году,Мангистауская,87.5
2019,в процентах к предыдущему году,Павлодарская,101.7
2019,в процентах к предыдущему году,Северо-Казахстанская,103.0
2019,в процентах к предыдущему году,Туркестанская,100.9
2019,в процентах к предыдущему году,Восточно-Казахстанская,108.8
2019,в процентах к предыдущему году,г_Нур-Султан,109.9
2019,в процентах к предыдущему году,г_Алматы,104.6
2019,в процентах к предыдущему году,г_Шымкент,115.5
