Year,UNIT_MEASURE,Value
2014,на 100 000 населения,20947.0
2015,на 100 000 населения,21084.0
2016,на 100 000 населения,21860.0
2017,на 100 000 населения,19839.0
2018,на 100 000 населения,20578.0
2019,на 100 000 населения,20706.0
