Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,процент,тугайный благородный олень,418
2010,процент,джейран,16154
2010,процент,кулан,2477
2010,процент,архар,13246
2011,процент,тугайный благородный олень,421
2011,процент,джейран,1210
2011,процент,кулан,2500
2011,процент,архар,13597
2012,процент,тугайный благородный олень,451
2012,процент,джейран,1263
2012,процент,кулан,2920
2012,процент,архар,13872
2013,процент,тугайный благородный олень,465
2013,процент,джейран,12888
2013,процент,кулан,3222
2013,процент,архар,14525
2014,процент,тугайный благородный олень,481
2014,процент,джейран,12994
2014,процент,кулан,3420
2014,процент,архар,14737
2015,процент,тугайный благородный олень,503
2015,процент,джейран,13197
2015,процент,кулан,3595
2015,процент,архар,15710
2016,процент,тугайный благородный олень,716
2016,процент,джейран,13218
2016,процент,кулан,3807
2016,процент,архар,15979
2017,процент,тугайный благородный олень,825
2017,процент,джейран,13727
2017,процент,кулан,3984
2017,процент,архар,16802
2018,процент,тугайный благородный олень,856
2018,процент,джейран,14055
2018,процент,кулан,4103
2018,процент,архар,16980
2019,процент,тугайный благородный олень,878
2019,процент,джейран,14391
2019,процент,кулан,4197
2019,процент,архар,17954
