Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Возраст,Регионы,Value
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,Западно-Казахстанская,18.45852370150271
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,Западно-Казахстанская,19.445775690384146
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,Западно-Казахстанская,5.899017007998126
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,Жымбылская,6.054250434159915
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,Жымбылская,5.0844777605340985
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,Жымбылская,24.62768293754209
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,Жымбылская,33.04032092764487
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,Жымбылская,8.037831981493953
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,Жымбылская,8.723024215981964
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,Жымбылская,16.82586161459401
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,Жымбылская,6.086498199174256
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,Жымбылская,1.3440309214957102
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,Карагандинская,17.101585272058227
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,Карагандинская,31.426392457542967
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,Карагандинская,52.285872224553934
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,Карагандинская,36.20645531135156
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,Карагандинская,21.80484609006316
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,Карагандинская,18.794721917962477
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,Карагандинская,27.514408263126107
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,Карагандинская,31.53387861230256
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,Карагандинская,2.6144727548189626
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,Костанайская,16.07829351743426
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,Костанайская,25.91009273506051
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,Костанайская,49.76421175198569
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,Костанайская,47.19757142263068
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,Костанайская,17.558947062003575
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,Костанайская,15.20272799101759
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,Костанайская,25.516696469414065
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,Костанайская,28.047573501892124
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,Костанайская,3.316006154613881
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,Кызылординская,8.066946606270289
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,Кызылординская,17.696099118539337
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,Кызылординская,24.11634962217427
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,Кызылординская,33.649183434591166
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,Кызылординская,11.94231887058374
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,Кызылординская,15.109844171769373
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,Кызылординская,13.452029270545518
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,Кызылординская,17.522514272974114
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,Кызылординская,3.747999394841823
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,Мангистауская,8.09717935354822
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,Мангистауская,12.852402913127856
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,Мангистауская,57.14300619770039
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,Мангистауская,33.08153001815488
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,Мангистауская,8.693474677072683
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,Мангистауская,27.89173848625863
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,Мангистауская,18.11627470211389
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,Мангистауская,10.033179608105003
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,Мангистауская,3.306483587571211
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,Павлодарская,11.962867767773266
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,Павлодарская,22.77398817644384
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,Павлодарская,37.34626850588651
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,Павлодарская,28.182507200242533
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,Павлодарская,13.394977515032084
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,Павлодарская,11.230357233085746
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,Павлодарская,19.694810772573398
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,Павлодарская,25.636905664190795
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,Павлодарская,3.968470516901622
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,Северо-Казахстанская,17.65415390428117
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,Северо-Казахстанская,22.41472293380073
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,Северо-Казахстанская,38.69219360927599
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,Северо-Казахстанская,36.64149925846029
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,Северо-Казахстанская,20.513684778212216
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,Северо-Казахстанская,14.248348388836456
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,Северо-Казахстанская,24.47755157071592
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,Северо-Казахстанская,28.886342186868006
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,Северо-Казахстанская,3.719832816502629
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,Туркестанская,18.55739451179479
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,Туркестанская,13.599361250158362
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,Туркестанская,40.9504055531167
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,Туркестанская,43.99448459546335
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,Туркестанская,11.1692834393497
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,Туркестанская,15.313791752231056
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,Туркестанская,20.023393329071077
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,Туркестанская,14.018319864000494
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,Туркестанская,2.8967658869872395
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,Восточно-Казахстанская,14.84530006923104
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,Восточно-Казахстанская,20.93821386425888
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,Восточно-Казахстанская,51.54708932843981
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,Восточно-Казахстанская,43.01157339742549
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,Восточно-Казахстанская,9.372394902941526
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,Восточно-Казахстанская,5.470027174207239
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,Восточно-Казахстанская,20.17603689629413
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,Восточно-Казахстанская,17.19553520196607
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,Восточно-Казахстанская,2.3157621228360776
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,г_Нур-Султан,29.116626205069743
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,г_Нур-Султан,58.58194290614169
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,г_Нур-Султан,81.40430168994962
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,г_Нур-Султан,66.34660045017685
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,г_Нур-Султан,42.11386616170639
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,г_Нур-Султан,47.29000678838115
