Year,UNIT_MEASURE,Value
2010,человек,1.7
2011,человек,3.1
2012,человек,2.7
2013,человек,3.3
2014,человек,3.4
2015,человек,2.5
2016,человек,2.0
2017,человек,1.8
2018,человек,1.3
2019,человек,1.7
